seed,task_id,task_type,generic_steps,current_task_virtual_steps,normalized_readout_steps,oracle_source_linear_steps,oracle_exploration_steps,generic_success,current_task_virtual_success,normalized_readout_success,oracle_source_linear_success,oracle_exploration_success
73000003,1,all_of,14,14,14,14,14,True,True,True,True,True
73000003,2,condition_then,13,13,13,13,13,True,True,True,True,True
73000003,3,sequence,14,14,14,14,14,True,True,True,True,True
73000003,4,all_of,11,11,11,11,11,True,True,True,True,True
73000003,5,condition_then,6,6,6,6,6,True,True,True,True,True
73000003,6,sequence,15,15,15,15,15,True,True,True,True,True
73000003,7,all_of,11,11,11,11,11,True,True,True,True,True
73000003,8,condition_then,8,8,8,8,8,True,True,True,True,True
73000003,9,branch,8,8,8,8,8,True,True,True,True,True
73000003,10,branch,9,9,9,9,9,True,True,True,True,True
73000003,11,branch,9,9,9,9,9,True,True,True,True,True
73000004,0,sequence,105,105,105,28,22,True,True,True,True,True
73000004,1,all_of,102,102,102,29,23,True,True,True,True,True
73000004,2,condition_then,39,39,39,21,15,True,True,True,True,True
73000004,3,sequence,18,18,18,18,18,True,True,True,True,True
73000004,4,all_of,15,15,15,15,15,True,True,True,True,True
73000004,5,condition_then,10,10,10,10,10,True,True,True,True,True
73000004,6,sequence,25,25,25,25,25,True,True,True,True,True
73000004,7,all_of,18,18,18,18,18,True,True,True,True,True
73000004,8,condition_then,11,11,11,11,11,True,True,True,True,True
73000004,9,branch,15,15,15,15,15,True,True,True,True,True
73000004,10,branch,11,11,11,11,11,True,True,True,True,True
73000004,11,branch,9,9,9,9,9,True,True,True,True,True
73000005,0,sequence,19,19,19,19,19,True,True,True,True,True
73000005,1,all_of,20,20,20,20,20,True,True,True,True,True
73000005,2,condition_then,10,10,10,10,10,True,True,True,True,True
73000005,3,sequence,16,16,16,16,16,True,True,True,True,True
73000005,4,all_of,10,10,10,10,10,True,True,True,True,True
73000005,5,condition_then,6,6,6,6,6,True,True,True,True,True
73000005,6,sequence,18,18,18,18,18,True,True,True,True,True
73000005,7,all_of,16,16,16,16,16,True,True,True,True,True
73000005,8,condition_then,6,6,6,6,6,True,True,True,True,True
73000005,9,branch,7,7,7,7,7,True,True,True,True,True
73000005,10,branch,10,10,10,10,10,True,True,True,True,True
73000005,11,branch,7,7,7,7,7,True,True,True,True,True
73000006,0,sequence,32,32,32,32,32,True,True,True,True,True
73000006,1,all_of,34,34,34,34,34,True,True,True,True,True
73000006,2,condition_then,16,16,16,16,16,True,True,True,True,True
73000006,3,sequence,34,34,34,34,34,True,True,True,True,True
73000006,4,all_of,30,30,30,30,30,True,True,True,True,True
73000006,5,condition_then,19,19,19,19,19,True,True,True,True,True
73000006,6,sequence,81,81,81,28,28,True,True,True,True,True
73000006,7,all_of,77,77,86,26,19,True,True,True,True,True
73000006,8,condition_then,16,16,16,16,16,True,True,True,True,True
73000006,9,branch,17,17,17,17,17,True,True,True,True,True
73000006,10,branch,15,15,15,15,15,True,True,True,True,True
73000006,11,branch,15,15,15,15,15,True,True,True,True,True
73000007,0,sequence,16,16,16,16,16,True,True,True,True,True
73000007,1,all_of,20,20,20,20,20,True,True,True,True,True
73000007,2,condition_then,10,10,10,10,10,True,True,True,True,True
73000007,3,sequence,16,16,16,16,16,True,True,True,True,True
73000007,4,all_of,14,14,14,14,14,True,True,True,True,True
73000007,5,condition_then,46,52,46,24,10,True,True,True,True,True
73000007,6,sequence,39,39,39,72,19,True,True,True,True,True
73000007,7,all_of,12,12,12,12,12,True,True,True,True,True
73000007,8,condition_then,9,9,9,9,9,True,True,True,True,True
73000007,9,branch,10,10,10,10,10,True,True,True,True,True
73000007,10,branch,8,8,8,8,8,True,True,True,True,True
73000007,11,branch,10,10,10,10,10,True,True,True,True,True
73000008,0,sequence,23,23,23,23,23,True,True,True,True,True
73000008,1,all_of,17,17,17,17,17,True,True,True,True,True
73000008,2,condition_then,12,12,12,12,12,True,True,True,True,True
73000008,3,sequence,230,230,230,25,24,True,True,True,True,True
73000008,4,all_of,220,220,220,23,15,True,True,True,True,True
73000008,5,condition_then,8,8,8,8,8,True,True,True,True,True
73000008,6,sequence,75,75,131,315,21,True,True,True,True,True
73000008,7,all_of,242,180,202,55,19,True,True,True,True,True
73000008,8,condition_then,9,9,9,9,9,True,True,True,True,True
73000008,9,branch,7,7,7,7,7,True,True,True,True,True
73000008,10,branch,10,10,10,10,10,True,True,True,True,True
73000008,11,branch,6,6,6,6,6,True,True,True,True,True
73000009,0,sequence,13,13,13,13,13,True,True,True,True,True
73000009,1,all_of,11,11,11,11,11,True,True,True,True,True
73000009,2,condition_then,9,9,9,9,9,True,True,True,True,True
73000009,3,sequence,12,12,12,12,12,True,True,True,True,True
73000009,4,all_of,15,15,15,15,15,True,True,True,True,True
73000009,5,condition_then,12,12,12,12,12,True,True,True,True,True
73000009,6,sequence,14,14,14,14,14,True,True,True,True,True
73000009,7,all_of,8,8,8,8,8,True,True,True,True,True
73000009,8,condition_then,8,8,8,8,8,True,True,True,True,True
73000009,9,branch,8,8,8,8,8,True,True,True,True,True
73000009,10,branch,7,7,7,7,7,True,True,True,True,True
73000009,11,branch,17,17,17,17,17,True,True,True,True,True
