seed=2505 task=4 policy=frontier_t0 success=True steps=334 explore=323 signal=0 changed=0
seed=2505 task=4 policy=virtual_frontier success=True steps=291 explore=280 signal=196 changed=0
seed=2505 task=4 policy=task_virtual_frontier success=True steps=291 explore=280 signal=196 changed=0
seed=2505 task=5 policy=structural success=True steps=12 explore=0 signal=0 changed=0
seed=2505 task=5 policy=frontier_t0 success=True steps=12 explore=0 signal=0 changed=0
seed=2505 task=5 policy=virtual_frontier success=True steps=12 explore=0 signal=0 changed=0
seed=2505 task=5 policy=task_virtual_frontier success=True steps=12 explore=0 signal=0 changed=0
seed=2505 task=6 policy=structural success=True steps=477 explore=464 signal=0 changed=0
seed=2505 task=6 policy=frontier_t0 success=True steps=477 explore=464 signal=0 changed=0
seed=2505 task=6 policy=virtual_frontier success=True steps=477 explore=464 signal=159 changed=0
seed=2505 task=6 policy=task_virtual_frontier success=True steps=477 explore=464 signal=159 changed=0
seed=2505 task=7 policy=structural success=True steps=256 explore=256 signal=0 changed=0
seed=2505 task=7 policy=frontier_t0 success=True steps=256 explore=256 signal=0 changed=0
seed=2505 task=7 policy=virtual_frontier success=True steps=256 explore=256 signal=0 changed=0
seed=2505 task=7 policy=task_virtual_frontier success=True steps=256 explore=256 signal=0 changed=0
seed=2505 task=8 policy=structural success=True steps=432 explore=432 signal=0 changed=0
seed=2505 task=8 policy=frontier_t0 success=True steps=432 explore=432 signal=0 changed=0
seed=2505 task=8 policy=virtual_frontier success=True steps=432 explore=432 signal=0 changed=0
seed=2505 task=8 policy=task_virtual_frontier success=True steps=432 explore=432 signal=0 changed=0
seed=2505 task=9 policy=structural success=True steps=16 explore=5 signal=0 changed=0
seed=2505 task=9 policy=frontier_t0 success=True steps=16 explore=5 signal=0 changed=0
seed=2505 task=9 policy=virtual_frontier success=True steps=16 explore=5 signal=0 changed=0
seed=2505 task=9 policy=task_virtual_frontier success=True steps=16 explore=5 signal=0 changed=0
seed=2505 task=10 policy=structural success=True steps=295 explore=286 signal=0 changed=0
seed=2505 task=10 policy=frontier_t0 success=True steps=295 explore=286 signal=0 changed=0
seed=2505 task=10 policy=virtual_frontier success=True steps=295 explore=286 signal=0 changed=0
seed=2505 task=10 policy=task_virtual_frontier success=True steps=295 explore=286 signal=0 changed=0
seed=2505 task=11 policy=structural success=True steps=19 explore=10 signal=0 changed=0
seed=2505 task=11 policy=frontier_t0 success=True steps=19 explore=10 signal=0 changed=0
seed=2505 task=11 policy=virtual_frontier success=True steps=19 explore=10 signal=0 changed=0
seed=2505 task=11 policy=task_virtual_frontier success=True steps=19 explore=10 signal=0 changed=0
