seed,task_id,task_type,policy,starts_in_model,success,task_steps,capped_steps,exploration_steps,replans,failure_reason,final_memory,final_memory_accepting,exploration_decisions,virtual_field_decisions,task_signal_available_decisions,field_changed_decisions,has_changed_decision,generic_counterfactual_action_switches,virtual_nodes_total,virtual_nodes_max,real_product_nodes_max,field_solve_seconds,max_field_residual,constant_source_roundoff_corrections,wall_seconds,cpu_seconds,sampled_peak_rss_bytes,process_peak_rss_bytes_so_far,states_known_at_end,virtual_nodes_mean
2202,0,sequence,structural,False,True,696,696,683,696,success,3,True,683,0,0,0,False,0,0,0,0,0,0,0,0.5629903939999963,0.56295885,64245760,64049152,101,0.0
2202,0,sequence,frontier_t0,False,True,185,185,180,185,success,3,True,180,0,0,0,False,0,0,0,0,0,0,0,0.21494292500000256,0.21491291200000007,64245760,64049152,101,0.0
2202,0,sequence,virtual_frontier,False,True,146,146,141,146,success,3,True,141,141,0,0,False,115,9311,88,98,0.058354616999992004,3.3306690738754696e-16,0,0.3538025229999846,0.353747362,64401408,64180224,99,66.0354609929078
2202,0,sequence,task_virtual_frontier,False,True,146,146,141,146,success,3,True,141,141,0,0,False,115,9311,88,98,0.057830067000111285,3.3306690738754696e-16,0,0.3524822340000071,0.352418801,64401408,64180224,99,66.0354609929078
2202,1,all_of,structural,False,True,682,682,682,682,success,7,True,682,0,0,0,False,0,0,0,0,0,0,0,0.6713647269999967,0.6713056640000001,64413696,64180224,101,0.0
2202,1,all_of,frontier_t0,False,True,179,179,179,179,success,7,True,179,0,0,0,False,0,0,0,0,0,0,0,0.28919314899999904,0.28917488700000016,64413696,64180224,101,0.0
2202,1,all_of,virtual_frontier,False,True,140,140,140,140,success,7,True,140,140,113,0,False,114,17477,175,190,0.07377814199992372,4.440892098500626e-16,0,0.581274470000011,0.5811531560000001,64417792,64180224,99,124.83571428571429
2202,1,all_of,task_virtual_frontier,False,True,132,132,132,132,success,7,True,132,132,71,2,True,105,14152,175,178,0.06435819999995829,4.440892098500626e-16,0,0.48428660000001855,0.48424245,64417792,64180224,98,107.21212121212122
2202,2,condition_then,structural,True,True,9,9,0,9,success,2,True,0,0,0,0,False,0,0,0,0,0,0,0,0.023176833000007946,0.023173174000000074,64421888,64180224,83,0.0
2202,2,condition_then,frontier_t0,True,True,9,9,0,9,success,2,True,0,0,0,0,False,0,0,0,0,0,0,0,0.023110830000007354,0.02310756199999986,64421888,64180224,83,0.0
2202,2,condition_then,virtual_frontier,True,True,9,9,0,9,success,2,True,0,0,0,0,False,0,0,0,0,0,0,0,0.02300384000000122,0.023000553000000146,64421888,64180224,83,0.0
2202,2,condition_then,task_virtual_frontier,True,True,9,9,0,9,success,2,True,0,0,0,0,False,0,0,0,0,0,0,0,0.02311193100001674,0.023089346999999982,64421888,64180224,83,0.0
2202,3,sequence,structural,False,True,18,18,1,18,success,3,True,1,0,0,0,False,0,0,0,0,0,0,0,0.05042679499999281,0.050422894999999635,64421888,64180224,84,0.0
2202,3,sequence,frontier_t0,False,True,18,18,1,18,success,3,True,1,0,0,0,False,0,0,0,0,0,0,0,0.050145789999987755,0.05014296199999979,64421888,64180224,84,0.0
2202,3,sequence,virtual_frontier,False,True,18,18,1,18,success,3,True,1,1,0,0,False,0,5,5,1,0.00025990599999659025,1.1102230246251565e-16,0,0.05085379400000534,0.05085074299999981,64421888,64180224,84,5.0
