capped_steps,cpu_seconds,exploration_policy_cpu_seconds,exploration_steps,failure_reason,final_memory_accepting,policy,process_peak_rss_bytes_so_far,repeat,replans,rng_seed,sampled_peak_rss_bytes,seed,states_at_end,success,task_id,task_steps,task_type,wall_seconds
33,0.03471911599999977,0.007660582000005078,17,success,True,doob_task,64446464,6,33,76000206,64528384,73000000,49,True,2,33,condition_then,0.034720235000001765
22,0.02201560999999863,0.004756663999993194,11,success,True,doob_task,64446464,7,22,76000207,64528384,73000000,49,True,2,22,condition_then,0.022017771000001574
27,0.030015515000000548,0.004769626000003413,11,success,True,doob_task,64446464,8,27,76000208,64528384,73000000,48,True,2,27,condition_then,0.03001745299999925
32,0.03406094100000168,0.007369628000002848,16,success,True,doob_task,64446464,9,32,76000209,64528384,73000000,46,True,2,32,condition_then,0.03407378200000011
25,0.02863804100000067,0.0037201699999993565,9,success,True,deadline_generic,64446464,0,25,76000200,64528384,73000000,43,True,2,25,condition_then,0.02863943299999505
25,0.02879447399999968,0.003734052000002208,9,success,True,deadline_task,64446464,0,25,76000200,64528384,73000000,43,True,2,25,condition_then,0.028814167000000168
11,0.018172716999998784,0.0,0,success,True,fixed_generic,64446464,0,11,76000300,64528384,73000000,38,True,3,11,sequence,0.018175155000001553
11,0.01799442600000134,0.0,0,success,True,fixed_task,64446464,0,11,76000300,64528384,73000000,38,True,3,11,sequence,0.01799684600000262
11,0.018132165999999117,0.0,0,success,True,doob_generic,64446464,0,11,76000300,64528384,73000000,38,True,3,11,sequence,0.018134027000002106
11,0.01790694199999976,0.0,0,success,True,doob_generic,64446464,1,11,76000301,64528384,73000000,38,True,3,11,sequence,0.0179091910000011
11,0.017965191000000047,0.0,0,success,True,doob_generic,64446464,2,11,76000302,64528384,73000000,38,True,3,11,sequence,0.01796732499999365
11,0.017987274999999414,0.0,0,success,True,doob_generic,64446464,3,11,76000303,64528384,73000000,38,True,3,11,sequence,0.017988799999997696
11,0.017902620999999286,0.0,0,success,True,doob_generic,64446464,4,11,76000304,64528384,73000000,38,True,3,11,sequence,0.01790459600000105
11,0.018006649000000152,0.0,0,success,True,doob_generic,64446464,5,11,76000305,64528384,73000000,38,True,3,11,sequence,0.01800822899999588
11,0.01806086400000062,0.0,0,success,True,doob_generic,64446464,6,11,76000306,64528384,73000000,38,True,3,11,sequence,0.0180625059999997
11,0.025186913000000644,0.0,0,success,True,doob_generic,64446464,7,11,76000307,64528384,73000000,38,True,3,11,sequence,0.02518839600000433
11,0.01794942000000077,0.0,0,success,True,doob_generic,64446464,8,11,76000308,64528384,73000000,38,True,3,11,sequence,0.017951909000004207
11,0.018266731000000647,0.0,0,success,True,doob_generic,64446464,9,11,76000309,64528384,73000000,38,True,3,11,sequence,0.01827798900000488
11,0.017953198000000725,0.0,0,success,True,doob_task,64446464,0,11,76000300,64528384,73000000,38,True,3,11,sequence,0.017955565999997702
11,0.017924434999999406,0.0,0,success,True,doob_task,64446464,1,11,76000301,64528384,73000000,38,True,3,11,sequence,0.017926273000000492
11,0.018161668999999492,0.0,0,success,True,doob_task,64446464,2,11,76000302,64528384,73000000,38,True,3,11,sequence,0.018163732000004984
11,0.018039805000000797,0.0,0,success,True,doob_task,64446464,3,11,76000303,64528384,73000000,38,True,3,11,sequence,0.018042090000001565
11,0.017878579999999644,0.0,0,success,True,doob_task,64446464,4,11,76000304,64528384,73000000,38,True,3,11,sequence,0.017880785999999205
11,0.017947435999998262,0.0,0,success,True,doob_task,64446464,5,11,76000305,64528384,73000000,38,True,3,11,sequence,0.017949070999996763
11,0.017790895000000972,0.0,0,success,True,doob_task,64446464,6,11,76000306,64528384,73000000,38,True,3,11,sequence,0.017792750999994666
11,0.018161383000000697,0.0,0,success,True,doob_task,64446464,7,11,76000307,64528384,73000000,38,True,3,11,sequence,0.018164114000001064
11,0.018125544000000104,0.0,0,success,True,doob_task,64446464,8,11,76000308,64528384,73000000,38,True,3,11,sequence,0.018128834999998844
11,0.01820208800000067,0.0,0,success,True,doob_task,64446464,9,11,76000309,64528384,73000000,38,True,3,11,sequence,0.018204523000001416
11,0.0179801580000003,0.0,0,success,True,deadline_generic,64446464,0,11,76000300,64528384,73000000,38,True,3,11,sequence,0.01798297399999882
11,0.0181351920000008,0.0,0,success,True,deadline_task,64446464,0,11,76000300,64528384,73000000,38,True,3,11,sequence,0.018137195999997857
74,0.2689390350000007,0.1269930989999999,59,success,True,fixed_generic,64446464,0,74,76000400,64528384,73000000,47,True,4,74,all_of,0.26893140099999613
74,0.2706802350000004,0.1283514100000147,59,success,True,fixed_task,64446464,0,74,76000400,64528384,73000000,47,True,4,74,all_of,0.2707117709999949
99,0.1803483400000001,0.11061568499998486,99,success,True,doob_generic,64446464,0,99,76000400,64528384,73000000,50,True,4,99,all_of,0.18039271199999973
352,1.464002292,0.8859427610000115,339,success,True,doob_generic,64839680,1,352,76000401,64897024,73000000,74,True,4,352,all_of,1.4641182740000005
260,0.7013075739999994,0.4230897429999896,252,success,True,doob_generic,64839680,2,260,76000402,64897024,73000000,65,True,4,260,all_of,0.7013929499999989
56,0.12482793399999892,0.0576451770000066,43,success,True,doob_generic,64839680,3,56,76000403,64897024,73000000,50,True,4,56,all_of,0.12483061400000395
177,0.3816273500000005,0.2200223299999884,160,success,True,doob_generic,64839680,4,177,76000404,64897024,73000000,55,True,4,177,all_of,0.38164931600000784
156,0.3692149979999986,0.22444568699998868,156,success,True,doob_generic,64839680,5,156,76000405,64897024,73000000,57,True,4,156,all_of,0.36926215500000126
72,0.2782492370000007,0.14625879999999647,59,success,True,doob_generic,64839680,6,72,76000406,64897024,73000000,46,True,4,72,all_of,0.27826167700000326
139,0.3594736629999993,0.2119439930000162,132,success,True,doob_generic,64839680,7,139,76000407,64897024,73000000,56,True,4,139,all_of,0.3594876909999982
158,0.3599712739999994,0.21356167199998666,149,success,True,doob_generic,64839680,8,158,76000408,64897024,73000000,60,True,4,158,all_of,0.3600614700000051
92,0.14252039199999977,0.07015796300000154,79,success,True,doob_generic,64839680,9,92,76000409,64897024,73000000,55,True,4,92,all_of,0.14253893099999004
99,0.18211873199999928,0.11138122000000372,99,success,True,doob_task,64839680,0,99,76000400,64897024,73000000,50,True,4,99,all_of,0.18211991499998703
352,1.468608325,0.8864754699999988,339,success,True,doob_task,64839680,1,352,76000401,64905216,73000000,74,True,4,352,all_of,1.4686951040000054
260,0.6984798929999982,0.42183390699999634,252,success,True,doob_task,64839680,2,260,76000402,64905216,73000000,65,True,4,260,all_of,0.6985630439999966
56,0.12572645500000235,0.058568872999991584,43,success,True,doob_task,64839680,3,56,76000403,64905216,73000000,50,True,4,56,all_of,0.1257519469999977
177,0.3813605769999988,0.21965585400003107,160,success,True,doob_task,64839680,4,177,76000404,64905216,73000000,55,True,4,177,all_of,0.3814047930000015
156,0.3723923290000002,0.23003428399999848,156,success,True,doob_task,64839680,5,156,76000405,64905216,73000000,57,True,4,156,all_of,0.3723931460000074
72,0.2764502799999988,0.14479878899998155,59,success,True,doob_task,64839680,6,72,76000406,64905216,73000000,46,True,4,72,all_of,0.27649873400000047
130,0.2670977309999998,0.1626663130000061,130,success,True,doob_task,64839680,7,130,76000407,64905216,73000000,53,True,4,130,all_of,0.26713504699999646
158,0.3589116590000003,0.21241764599998447,149,success,True,doob_task,64839680,8,158,76000408,64905216,73000000,60,True,4,158,all_of,0.35896290899999883
92,0.1415634180000005,0.0701268240000168,79,success,True,doob_task,64839680,9,92,76000409,64905216,73000000,55,True,4,92,all_of,0.1415657760000073
76,0.2850471689999985,0.14029664300000988,61,success,True,deadline_generic,64839680,0,76,76000400,64905216,73000000,48,True,4,76,all_of,0.28512878899999805
65,0.1148742459999994,0.06658425700001658,65,success,True,deadline_task,64839680,0,65,76000400,64905216,73000000,47,True,4,65,all_of,0.11487626999999634
4,0.005022888999999253,0.002959024999999116,4,success,True,fixed_generic,64839680,0,4,76000500,64905216,73000000,41,True,5,4,condition_then,0.005024376999998026
3,0.004041883999999385,0.002384811999998959,3,success,True,fixed_task,64839680,0,3,76000500,64905216,73000000,40,True,5,3,condition_then,0.004043390000006752
39,0.06098113200000199,0.03796332800001068,39,success,True,doob_generic,64839680,0,39,76000500,64905216,73000000,41,True,5,39,condition_then,0.06098233599999503
15,0.0236466980000003,0.013952448000001283,15,success,True,doob_generic,64839680,1,15,76000501,64905216,73000000,40,True,5,15,condition_then,0.023648192000010226
4,0.005081878999998679,0.003050571000002833,4,success,True,doob_generic,64839680,2,4,76000502,64905216,73000000,41,True,5,4,condition_then,0.005083369000004723
292,0.4927433119999982,0.3081836589999618,292,success,True,doob_generic,64839680,3,292,76000503,64905216,73000000,68,True,5,292,condition_then,0.4927530209999986
7,0.0074484490000017445,0.004648887999991302,7,success,True,doob_generic,64839680,4,7,76000504,64905216,73000000,41,True,5,7,condition_then,0.0074498829999924965
15,0.02067939400000185,0.012368643999998596,15,success,True,doob_generic,64839680,5,15,76000505,64905216,73000000,42,True,5,15,condition_then,0.020680808999998135
12,0.016209958000001023,0.009791516999996475,12,success,True,doob_generic,64839680,6,12,76000506,64905216,73000000,42,True,5,12,condition_then,0.01621138399998756
165,0.2172540689999991,0.13948346700001935,165,success,True,doob_generic,64839680,7,165,76000507,64905216,73000000,53,True,5,165,condition_then,0.21727626599999894
19,0.026585698000001656,0.017111765000002777,19,success,True,doob_generic,64839680,8,19,76000508,64905216,73000000,41,True,5,19,condition_then,0.026587116000001743
8,0.01342062400000188,0.007877876000002004,8,success,True,doob_generic,64839680,9,8,76000509,64905216,73000000,39,True,5,8,condition_then,0.013422066999993376
403,0.7219085189999994,0.45375011500001605,403,success,True,doob_task,64839680,0,403,76000500,64905216,73000000,68,True,5,403,condition_then,0.7220196619999939
15,0.02389131099999986,0.01420606399999258,15,success,True,doob_task,64839680,1,15,76000501,64905216,73000000,40,True,5,15,condition_then,0.023909981000002745
4,0.0050302529999974865,0.003070973999999893,4,success,True,doob_task,64839680,2,4,76000502,64905216,73000000,41,True,5,4,condition_then,0.005031688999991957
292,0.49167568899999736,0.30717103900000353,292,success,True,doob_task,64839680,3,292,76000503,64905216,73000000,68,True,5,292,condition_then,0.49172004400000446
7,0.007327844999998945,0.004483710999995338,7,success,True,doob_task,64839680,4,7,76000504,64905216,73000000,41,True,5,7,condition_then,0.007329300000009198
14,0.022245822999998666,0.013552533000002143,14,success,True,doob_task,64839680,5,14,76000505,64905216,73000000,40,True,5,14,condition_then,0.02224722300000792
12,0.016162513000001155,0.009814334000001423,12,success,True,doob_task,64839680,6,12,76000506,64905216,73000000,42,True,5,12,condition_then,0.0161638440000047
165,0.21705407399999999,0.1394326860000028,165,success,True,doob_task,64839680,7,165,76000507,64905216,73000000,53,True,5,165,condition_then,0.21705468400000427
58,0.06928050099999794,0.044215129000004794,58,success,True,doob_task,64839680,8,58,76000508,64905216,73000000,54,True,5,58,condition_then,0.06928193600001009
8,0.01333973399999877,0.007838410000001517,8,success,True,doob_task,64839680,9,8,76000509,64905216,73000000,39,True,5,8,condition_then,0.013341441000008558
4,0.004950884999999516,0.0029609119999989275,4,success,True,deadline_generic,64839680,0,4,76000500,64905216,73000000,41,True,5,4,condition_then,0.0049524060000010195
3,0.004078077999999152,0.0024467489999970837,3,success,True,deadline_task,64839680,0,3,76000500,64905216,73000000,40,True,5,3,condition_then,0.0040795509999895785
24,0.04352342099999973,0.007196511999993049,6,success,True,fixed_generic,64839680,0,24,76000600,64905216,73000000,39,True,6,24,sequence,0.04352652500000431
24,0.04290551900000139,0.0072268750000077375,6,success,True,fixed_task,64839680,0,24,76000600,64905216,73000000,39,True,6,24,sequence,0.04290898400000742
