seed,task_id,policy,success_rate,capped_steps
73000002,10,deadline_task,1.0,11.0
73000002,11,fixed_generic,1.0,11.0
73000002,11,fixed_task,1.0,11.0
73000002,11,doob_generic,1.0,11.0
73000002,11,doob_task,1.0,11.0
73000002,11,deadline_generic,1.0,11.0
73000002,11,deadline_task,1.0,11.0
73000003,0,fixed_generic,1.0,29.0
73000003,0,fixed_task,1.0,29.0
73000003,0,doob_generic,1.0,29.0
73000003,0,doob_task,1.0,29.0
73000003,0,deadline_generic,1.0,29.0
73000003,0,deadline_task,1.0,29.0
73000003,1,fixed_generic,1.0,14.0
73000003,1,fixed_task,1.0,14.0
73000003,1,doob_generic,1.0,14.0
73000003,1,doob_task,1.0,14.0
73000003,1,deadline_generic,1.0,14.0
73000003,1,deadline_task,1.0,14.0
73000003,2,fixed_generic,1.0,13.0
73000003,2,fixed_task,1.0,13.0
73000003,2,doob_generic,1.0,13.0
73000003,2,doob_task,1.0,13.0
73000003,2,deadline_generic,1.0,13.0
73000003,2,deadline_task,1.0,13.0
73000003,3,fixed_generic,1.0,14.0
73000003,3,fixed_task,1.0,14.0
73000003,3,doob_generic,1.0,14.0
73000003,3,doob_task,1.0,14.0
73000003,3,deadline_generic,1.0,14.0
73000003,3,deadline_task,1.0,14.0
73000003,4,fixed_generic,1.0,11.0
73000003,4,fixed_task,1.0,11.0
73000003,4,doob_generic,1.0,11.0
73000003,4,doob_task,1.0,11.0
73000003,4,deadline_generic,1.0,11.0
73000003,4,deadline_task,1.0,11.0
73000003,5,fixed_generic,1.0,6.0
73000003,5,fixed_task,1.0,6.0
73000003,5,doob_generic,1.0,6.0
73000003,5,doob_task,1.0,6.0
73000003,5,deadline_generic,1.0,6.0
73000003,5,deadline_task,1.0,6.0
73000003,6,fixed_generic,1.0,15.0
73000003,6,fixed_task,1.0,15.0
73000003,6,doob_generic,1.0,15.0
73000003,6,doob_task,1.0,15.0
73000003,6,deadline_generic,1.0,15.0
73000003,6,deadline_task,1.0,15.0
73000003,7,fixed_generic,1.0,11.0
73000003,7,fixed_task,1.0,11.0
73000003,7,doob_generic,1.0,11.0
73000003,7,doob_task,1.0,11.0
73000003,7,deadline_generic,1.0,11.0
73000003,7,deadline_task,1.0,11.0
73000003,8,fixed_generic,1.0,8.0
73000003,8,fixed_task,1.0,8.0
73000003,8,doob_generic,1.0,8.0
73000003,8,doob_task,1.0,8.0
73000003,8,deadline_generic,1.0,8.0
73000003,8,deadline_task,1.0,8.0
73000003,9,fixed_generic,1.0,8.0
73000003,9,fixed_task,1.0,8.0
73000003,9,doob_generic,1.0,8.0
73000003,9,doob_task,1.0,8.0
73000003,9,deadline_generic,1.0,8.0
73000003,9,deadline_task,1.0,8.0
73000003,10,fixed_generic,1.0,9.0
73000003,10,fixed_task,1.0,9.0
73000003,10,doob_generic,1.0,9.0
73000003,10,doob_task,1.0,9.0
73000003,10,deadline_generic,1.0,9.0
73000003,10,deadline_task,1.0,9.0
73000003,11,fixed_generic,1.0,9.0
73000003,11,fixed_task,1.0,9.0
73000003,11,doob_generic,1.0,9.0
73000003,11,doob_task,1.0,9.0
73000003,11,deadline_generic,1.0,9.0
73000003,11,deadline_task,1.0,9.0
73000004,0,fixed_generic,1.0,105.0
73000004,0,fixed_task,1.0,105.0
73000004,0,doob_generic,1.0,361.6
73000004,0,doob_task,1.0,361.6
73000004,0,deadline_generic,1.0,170.0
73000004,0,deadline_task,1.0,170.0
73000004,1,fixed_generic,1.0,102.0
73000004,1,fixed_task,1.0,102.0
73000004,1,doob_generic,1.0,360.7
73000004,1,doob_task,1.0,360.7
73000004,1,deadline_generic,1.0,159.0
73000004,1,deadline_task,1.0,159.0
73000004,2,fixed_generic,1.0,39.0
73000004,2,fixed_task,1.0,39.0
73000004,2,doob_generic,1.0,95.2
73000004,2,doob_task,1.0,95.2
73000004,2,deadline_generic,1.0,61.0
73000004,2,deadline_task,1.0,61.0
73000004,3,fixed_generic,1.0,18.0
73000004,3,fixed_task,1.0,18.0
73000004,3,doob_generic,1.0,18.0
73000004,3,doob_task,1.0,18.0
73000004,3,deadline_generic,1.0,18.0
73000004,3,deadline_task,1.0,18.0
73000004,4,fixed_generic,1.0,15.0
73000004,4,fixed_task,1.0,15.0
73000004,4,doob_generic,1.0,15.0
73000004,4,doob_task,1.0,15.0
73000004,4,deadline_generic,1.0,15.0
73000004,4,deadline_task,1.0,15.0
73000004,5,fixed_generic,1.0,10.0
73000004,5,fixed_task,1.0,10.0
73000004,5,doob_generic,1.0,10.0
73000004,5,doob_task,1.0,10.0
73000004,5,deadline_generic,1.0,10.0
73000004,5,deadline_task,1.0,10.0
73000004,6,fixed_generic,1.0,25.0
73000004,6,fixed_task,1.0,25.0
73000004,6,doob_generic,1.0,25.0
73000004,6,doob_task,1.0,25.0
73000004,6,deadline_generic,1.0,25.0
73000004,6,deadline_task,1.0,25.0
73000004,7,fixed_generic,1.0,18.0
73000004,7,fixed_task,1.0,18.0
73000004,7,doob_generic,1.0,18.0
73000004,7,doob_task,1.0,18.0
73000004,7,deadline_generic,1.0,18.0
73000004,7,deadline_task,1.0,18.0
73000004,8,fixed_generic,1.0,11.0
73000004,8,fixed_task,1.0,11.0
73000004,8,doob_generic,1.0,11.0
73000004,8,doob_task,1.0,11.0
73000004,8,deadline_generic,1.0,11.0
73000004,8,deadline_task,1.0,11.0
73000004,9,fixed_generic,1.0,15.0
73000004,9,fixed_task,1.0,15.0
73000004,9,doob_generic,1.0,15.0
73000004,9,doob_task,1.0,15.0
73000004,9,deadline_generic,1.0,15.0
73000004,9,deadline_task,1.0,15.0
73000004,10,fixed_generic,1.0,11.0
73000004,10,fixed_task,1.0,11.0
73000004,10,doob_generic,1.0,11.0
73000004,10,doob_task,1.0,11.0
73000004,10,deadline_generic,1.0,11.0
73000004,10,deadline_task,1.0,11.0
73000004,11,fixed_generic,1.0,9.0
73000004,11,fixed_task,1.0,9.0
73000004,11,doob_generic,1.0,9.0
73000004,11,doob_task,1.0,9.0
73000004,11,deadline_generic,1.0,9.0
73000004,11,deadline_task,1.0,9.0
73000005,0,fixed_generic,1.0,19.0
73000005,0,fixed_task,1.0,19.0
73000005,0,doob_generic,1.0,19.0
73000005,0,doob_task,1.0,19.0
73000005,0,deadline_generic,1.0,19.0
73000005,0,deadline_task,1.0,19.0
73000005,1,fixed_generic,1.0,20.0
73000005,1,fixed_task,1.0,20.0
73000005,1,doob_generic,1.0,20.0
73000005,1,doob_task,1.0,20.0
73000005,1,deadline_generic,1.0,20.0
73000005,1,deadline_task,1.0,20.0
73000005,2,fixed_generic,1.0,10.0
73000005,2,fixed_task,1.0,10.0
73000005,2,doob_generic,1.0,10.0
73000005,2,doob_task,1.0,10.0
73000005,2,deadline_generic,1.0,10.0
73000005,2,deadline_task,1.0,10.0
73000005,3,fixed_generic,1.0,16.0
73000005,3,fixed_task,1.0,16.0
73000005,3,doob_generic,1.0,16.0
73000005,3,doob_task,1.0,16.0
73000005,3,deadline_generic,1.0,16.0
73000005,3,deadline_task,1.0,16.0
73000005,4,fixed_generic,1.0,10.0
73000005,4,fixed_task,1.0,10.0
73000005,4,doob_generic,1.0,10.0
73000005,4,doob_task,1.0,10.0
73000005,4,deadline_generic,1.0,10.0
73000005,4,deadline_task,1.0,10.0
73000005,5,fixed_generic,1.0,6.0
73000005,5,fixed_task,1.0,6.0
73000005,5,doob_generic,1.0,6.0
73000005,5,doob_task,1.0,6.0
73000005,5,deadline_generic,1.0,6.0
73000005,5,deadline_task,1.0,6.0
73000005,6,fixed_generic,1.0,18.0
73000005,6,fixed_task,1.0,18.0
73000005,6,doob_generic,1.0,18.0
73000005,6,doob_task,1.0,18.0
73000005,6,deadline_generic,1.0,18.0
73000005,6,deadline_task,1.0,18.0
73000005,7,fixed_generic,1.0,16.0
73000005,7,fixed_task,1.0,16.0
73000005,7,doob_generic,1.0,16.0
73000005,7,doob_task,1.0,16.0
73000005,7,deadline_generic,1.0,16.0
73000005,7,deadline_task,1.0,16.0
73000005,8,fixed_generic,1.0,6.0
73000005,8,fixed_task,1.0,6.0
73000005,8,doob_generic,1.0,6.0
73000005,8,doob_task,1.0,6.0
73000005,8,deadline_generic,1.0,6.0
73000005,8,deadline_task,1.0,6.0
73000005,9,fixed_generic,1.0,7.0
73000005,9,fixed_task,1.0,7.0
73000005,9,doob_generic,1.0,7.0
73000005,9,doob_task,1.0,7.0
73000005,9,deadline_generic,1.0,7.0
73000005,9,deadline_task,1.0,7.0
73000005,10,fixed_generic,1.0,10.0
73000005,10,fixed_task,1.0,10.0
73000005,10,doob_generic,1.0,10.0
73000005,10,doob_task,1.0,10.0
73000005,10,deadline_generic,1.0,10.0
73000005,10,deadline_task,1.0,10.0
73000005,11,fixed_generic,1.0,7.0
73000005,11,fixed_task,1.0,7.0
73000005,11,doob_generic,1.0,7.0
73000005,11,doob_task,1.0,7.0
73000005,11,deadline_generic,1.0,7.0
73000005,11,deadline_task,1.0,7.0
73000006,0,fixed_generic,1.0,32.0
73000006,0,fixed_task,1.0,32.0
73000006,0,doob_generic,1.0,32.0
73000006,0,doob_task,1.0,32.0
73000006,0,deadline_generic,1.0,32.0
73000006,0,deadline_task,1.0,32.0
73000006,1,fixed_generic,1.0,34.0
73000006,1,fixed_task,1.0,34.0
73000006,1,doob_generic,1.0,34.0
73000006,1,doob_task,1.0,34.0
73000006,1,deadline_generic,1.0,34.0
73000006,1,deadline_task,1.0,34.0
73000006,2,fixed_generic,1.0,16.0
73000006,2,fixed_task,1.0,16.0
73000006,2,doob_generic,1.0,16.0
73000006,2,doob_task,1.0,16.0
73000006,2,deadline_generic,1.0,16.0
73000006,2,deadline_task,1.0,16.0
73000006,3,fixed_generic,1.0,34.0
73000006,3,fixed_task,1.0,34.0
73000006,3,doob_generic,1.0,34.0
73000006,3,doob_task,1.0,34.0
73000006,3,deadline_generic,1.0,34.0
73000006,3,deadline_task,1.0,34.0
73000006,4,fixed_generic,1.0,30.0
73000006,4,fixed_task,1.0,30.0
73000006,4,doob_generic,1.0,30.0
73000006,4,doob_task,1.0,30.0
73000006,4,deadline_generic,1.0,30.0
73000006,4,deadline_task,1.0,30.0
73000006,5,fixed_generic,1.0,19.0
73000006,5,fixed_task,1.0,19.0
73000006,5,doob_generic,1.0,19.0
73000006,5,doob_task,1.0,19.0
73000006,5,deadline_generic,1.0,19.0
73000006,5,deadline_task,1.0,19.0
73000006,6,fixed_generic,1.0,81.0
73000006,6,fixed_task,1.0,81.0
73000006,6,doob_generic,1.0,451.5
73000006,6,doob_task,1.0,451.5
73000006,6,deadline_generic,1.0,81.0
73000006,6,deadline_task,1.0,81.0
73000006,7,fixed_generic,1.0,77.0
