slip,seed,task_id,task_type,planner,p_success,expected_cost,expected_steps_given_success,true_product_states,learned_states
0.0,2101,29,condition_then,shortest_oracle,1.0,8.0,8.0,434,170
0.0,2101,29,condition_then,ssp_optimal,1.0,8.0,8.0,434,170
0.0,2101,30,sequence,linear,1.0,21.0,21.0,693,170
0.0,2101,30,sequence,shortest,1.0,21.0,21.0,693,170
0.0,2101,30,sequence,linear_empirical,1.0,21.0,21.0,693,170
0.0,2101,30,sequence,certainty_equivalent,1.0,21.0,21.0,693,170
0.0,2101,30,sequence,linear_oracle,1.0,20.0,20.0,693,170
0.0,2101,30,sequence,shortest_oracle,1.0,20.0,20.0,693,170
0.0,2101,30,sequence,ssp_optimal,1.0,20.0,20.0,693,170
0.0,2101,31,all_of,linear,1.0,17.0,17.0,1380,170
0.0,2101,31,all_of,shortest,1.0,17.0,17.0,1380,170
0.0,2101,31,all_of,linear_empirical,1.0,17.0,17.0,1380,170
0.0,2101,31,all_of,certainty_equivalent,1.0,17.0,17.0,1380,170
0.0,2101,31,all_of,linear_oracle,1.0,16.0,16.0,1380,170
0.0,2101,31,all_of,shortest_oracle,1.0,16.0,16.0,1380,170
0.0,2101,31,all_of,ssp_optimal,1.0,16.0,16.0,1380,170
0.0,2101,32,condition_then,linear,1.0,11.0,11.0,379,170
0.0,2101,32,condition_then,shortest,1.0,11.0,11.0,379,170
0.0,2101,32,condition_then,linear_empirical,1.0,11.0,11.0,379,170
0.0,2101,32,condition_then,certainty_equivalent,1.0,11.0,11.0,379,170
0.0,2101,32,condition_then,linear_oracle,1.0,11.0,11.0,379,170
0.0,2101,32,condition_then,shortest_oracle,1.0,10.0,10.0,379,170
0.0,2101,32,condition_then,ssp_optimal,1.0,10.0,10.0,379,170
0.0,2101,33,sequence,linear,1.0,24.0,24.0,693,170
0.0,2101,33,sequence,shortest,1.0,24.0,24.0,693,170
0.0,2101,33,sequence,linear_empirical,1.0,24.0,24.0,693,170
0.0,2101,33,sequence,certainty_equivalent,1.0,24.0,24.0,693,170
0.0,2101,33,sequence,linear_oracle,1.0,24.0,24.0,693,170
0.0,2101,33,sequence,shortest_oracle,1.0,24.0,24.0,693,170
0.0,2101,33,sequence,ssp_optimal,1.0,24.0,24.0,693,170
0.0,2101,34,all_of,linear,1.0,16.0,16.0,1380,170
0.0,2101,34,all_of,shortest,1.0,16.0,16.0,1380,170
0.0,2101,34,all_of,linear_empirical,1.0,16.0,16.0,1380,170
0.0,2101,34,all_of,certainty_equivalent,1.0,16.0,16.0,1380,170
0.0,2101,34,all_of,linear_oracle,1.0,16.0,16.0,1380,170
0.0,2101,34,all_of,shortest_oracle,1.0,16.0,16.0,1380,170
0.0,2101,34,all_of,ssp_optimal,1.0,16.0,16.0,1380,170
0.0,2101,35,condition_then,linear,1.0,14.0,14.0,505,170
0.0,2101,35,condition_then,shortest,1.0,14.0,14.0,505,170
0.0,2101,35,condition_then,linear_empirical,1.0,14.0,14.0,505,170
0.0,2101,35,condition_then,certainty_equivalent,1.0,14.0,14.0,505,170
0.0,2101,35,condition_then,linear_oracle,1.0,14.0,14.0,505,170
0.0,2101,35,condition_then,shortest_oracle,1.0,14.0,14.0,505,170
0.0,2101,35,condition_then,ssp_optimal,1.0,14.0,14.0,505,170
0.0,2101,36,branch,linear,1.0,9.0,9.0,692,170
0.0,2101,36,branch,shortest,1.0,9.0,9.0,692,170
0.0,2101,36,branch,linear_empirical,1.0,9.0,9.0,692,170
0.0,2101,36,branch,certainty_equivalent,1.0,9.0,9.0,692,170
0.0,2101,36,branch,linear_oracle,1.0,9.0,9.0,692,170
0.0,2101,36,branch,shortest_oracle,1.0,9.0,9.0,692,170
0.0,2101,36,branch,ssp_optimal,1.0,9.0,9.0,692,170
0.0,2101,37,branch,linear,1.0,10.0,10.0,692,170
0.0,2101,37,branch,shortest,1.0,10.0,10.0,692,170
0.0,2101,37,branch,linear_empirical,1.0,10.0,10.0,692,170
0.0,2101,37,branch,certainty_equivalent,1.0,10.0,10.0,692,170
0.0,2101,37,branch,linear_oracle,1.0,10.0,10.0,692,170
0.0,2101,37,branch,shortest_oracle,1.0,10.0,10.0,692,170
0.0,2101,37,branch,ssp_optimal,1.0,10.0,10.0,692,170
0.0,2101,38,branch,linear,1.0,8.0,8.0,692,170
0.0,2101,38,branch,shortest,1.0,8.0,8.0,692,170
0.0,2101,38,branch,linear_empirical,1.0,8.0,8.0,692,170
0.0,2101,38,branch,certainty_equivalent,1.0,8.0,8.0,692,170
0.0,2101,38,branch,linear_oracle,1.0,8.0,8.0,692,170
0.0,2101,38,branch,shortest_oracle,1.0,8.0,8.0,692,170
0.0,2101,38,branch,ssp_optimal,1.0,8.0,8.0,692,170
0.0,2101,39,branch,linear,1.0,9.0,9.0,692,170
0.0,2101,39,branch,shortest,1.0,9.0,9.0,692,170
0.0,2101,39,branch,linear_empirical,1.0,9.0,9.0,692,170
0.0,2101,39,branch,certainty_equivalent,1.0,9.0,9.0,692,170
0.0,2101,39,branch,linear_oracle,1.0,9.0,9.0,692,170
0.0,2101,39,branch,shortest_oracle,1.0,9.0,9.0,692,170
0.0,2101,39,branch,ssp_optimal,1.0,9.0,9.0,692,170
0.0,2101,40,branch,linear,1.0,8.0,8.0,692,170
0.0,2101,40,branch,shortest,1.0,8.0,8.0,692,170
0.0,2101,40,branch,linear_empirical,1.0,8.0,8.0,692,170
0.0,2101,40,branch,certainty_equivalent,1.0,8.0,8.0,692,170
0.0,2101,40,branch,linear_oracle,1.0,8.0,8.0,692,170
0.0,2101,40,branch,shortest_oracle,1.0,8.0,8.0,692,170
0.0,2101,40,branch,ssp_optimal,1.0,8.0,8.0,692,170
0.0,2101,41,branch,linear,1.0,8.0,8.0,692,170
0.0,2101,41,branch,shortest,1.0,8.0,8.0,692,170
0.0,2101,41,branch,linear_empirical,1.0,8.0,8.0,692,170
0.0,2101,41,branch,certainty_equivalent,1.0,8.0,8.0,692,170
0.0,2101,41,branch,linear_oracle,1.0,8.0,8.0,692,170
0.0,2101,41,branch,shortest_oracle,1.0,8.0,8.0,692,170
0.0,2101,41,branch,ssp_optimal,1.0,8.0,8.0,692,170
0.0,2101,42,branch,linear,1.0,10.0,10.0,692,170
0.0,2101,42,branch,shortest,1.0,10.0,10.0,692,170
0.0,2101,42,branch,linear_empirical,1.0,10.0,10.0,692,170
0.0,2101,42,branch,certainty_equivalent,1.0,10.0,10.0,692,170
0.0,2101,42,branch,linear_oracle,1.0,10.0,10.0,692,170
0.0,2101,42,branch,shortest_oracle,1.0,10.0,10.0,692,170
0.0,2101,42,branch,ssp_optimal,1.0,10.0,10.0,692,170
0.0,2101,43,branch,linear,1.0,11.0,11.0,692,170
0.0,2101,43,branch,shortest,1.0,11.0,11.0,692,170
0.0,2101,43,branch,linear_empirical,1.0,11.0,11.0,692,170
0.0,2101,43,branch,certainty_equivalent,1.0,11.0,11.0,692,170
0.0,2101,43,branch,linear_oracle,1.0,11.0,11.0,692,170
0.0,2101,43,branch,shortest_oracle,1.0,11.0,11.0,692,170
0.0,2101,43,branch,ssp_optimal,1.0,11.0,11.0,692,170
0.0,2101,44,branch,linear,1.0,9.0,9.0,692,170
0.0,2101,44,branch,shortest,1.0,9.0,9.0,692,170
0.0,2101,44,branch,linear_empirical,1.0,9.0,9.0,692,170
0.0,2101,44,branch,certainty_equivalent,1.0,9.0,9.0,692,170
0.0,2101,44,branch,linear_oracle,1.0,9.0,9.0,692,170
0.0,2101,44,branch,shortest_oracle,1.0,9.0,9.0,692,170
0.0,2101,44,branch,ssp_optimal,1.0,9.0,9.0,692,170
0.0,2101,45,branch,linear,1.0,9.0,9.0,692,170
0.0,2101,45,branch,shortest,1.0,9.0,9.0,692,170
0.0,2101,45,branch,linear_empirical,1.0,9.0,9.0,692,170
0.0,2101,45,branch,certainty_equivalent,1.0,9.0,9.0,692,170
0.0,2101,45,branch,linear_oracle,1.0,9.0,9.0,692,170
0.0,2101,45,branch,shortest_oracle,1.0,9.0,9.0,692,170
0.0,2101,45,branch,ssp_optimal,1.0,9.0,9.0,692,170
0.05,2101,0,sequence,linear,0.9999998648054973,22.242133916660055,22.242067704079954,693,172
0.05,2101,0,sequence,shortest,0.9999993962370126,22.223352276361634,22.223056567171117,693,172
