noise,slip,seed,task_id,task_type,planner,p_success,expected_cost,expected_steps_given_success,true_product_states,learned_states
uniform,0.4,2101,23,condition_then,shortest,0.17533892651835212,439.7410374119509,99.88978566897991,453,158
uniform,0.4,2101,23,condition_then,linear_empirical,0.3520678520954374,350.29172659602455,52.69003335146868,453,158
uniform,0.4,2101,23,condition_then,certainty_equivalent,0.1323107937785503,451.85975018962375,57.462255248551344,453,158
uniform,0.4,2101,23,condition_then,linear_oracle,0.9999999999999992,17.299418999805393,17.29941899980501,453,158
uniform,0.4,2101,23,condition_then,shortest_oracle,0.999999999999998,20.838721504685026,20.838721504684045,453,158
uniform,0.4,2101,23,condition_then,ssp_optimal,0.9999999999999976,17.166466395253185,17.166466395251977,453,158
uniform,0.4,2101,24,sequence,linear,0.6796973346725784,196.80607734375909,48.27312249491886,693,158
uniform,0.4,2101,24,sequence,shortest,0.7143665349819096,191.396557869309,63.205961602316826,693,158
uniform,0.4,2101,24,sequence,linear_empirical,0.7057042399842562,185.08553018384723,48.754278501364816,693,158
uniform,0.4,2101,24,sequence,certainty_equivalent,0.6901292872129828,191.21928142373645,47.187501067076894,693,158
uniform,0.4,2101,24,sequence,linear_oracle,0.9999999999999963,41.05340009309432,41.05340009309259,693,158
uniform,0.4,2101,24,sequence,shortest_oracle,0.9999999999999978,47.39485883209645,47.39485883209542,693,158
uniform,0.4,2101,24,sequence,ssp_optimal,0.9999999999999979,40.45897334797279,40.45897334797179,693,158
uniform,0.4,2101,25,all_of,linear,0.6412652186937635,213.61266203235095,46.689658398354425,1380,158
uniform,0.4,2101,25,all_of,shortest,0.6603220223253689,216.32174199685778,64.22111635487914,1380,158
uniform,0.4,2101,25,all_of,linear_empirical,0.6935477871704901,188.11297707700993,44.999702523207496,1380,158
uniform,0.4,2101,25,all_of,certainty_equivalent,0.6772714926476319,192.2223251285978,39.84418310402017,1380,158
uniform,0.4,2101,25,all_of,linear_oracle,0.9999999999999982,32.84733368051846,32.84733368051761,1380,158
uniform,0.4,2101,25,all_of,shortest_oracle,0.9999999999999973,38.18057238330583,38.180572383304565,1380,158
uniform,0.4,2101,25,all_of,ssp_optimal,0.9999999999999974,32.597819418892776,32.597819418891554,1380,158
uniform,0.4,2101,26,condition_then,linear,0.43255043563190426,304.7505671286961,32.8664336020438,447,158
uniform,0.4,2101,26,condition_then,shortest,0.8496462135905447,115.05857029536341,44.815631547170405,447,158
uniform,0.4,2101,26,condition_then,linear_empirical,0.4828138601764925,282.40441955172656,36.46356787614836,447,158
uniform,0.4,2101,26,condition_then,certainty_equivalent,0.6274026309162334,213.8993189629269,36.865427163193544,447,158
uniform,0.4,2101,26,condition_then,linear_oracle,0.9999999999999976,27.10722427005837,27.107224270057188,447,158
uniform,0.4,2101,26,condition_then,shortest_oracle,0.9999999999999979,33.84412011341117,33.84412011341016,447,158
uniform,0.4,2101,26,condition_then,ssp_optimal,0.9999999999999988,26.307988383652475,26.30798838365188,447,158
uniform,0.4,2101,27,sequence,linear,0.0,512.0,,693,158
uniform,0.4,2101,27,sequence,shortest,0.0,512.0,,693,158
uniform,0.4,2101,27,sequence,linear_empirical,0.0,512.0,,693,158
uniform,0.4,2101,27,sequence,certainty_equivalent,0.0,512.0,,693,158
uniform,0.4,2101,27,sequence,linear_oracle,0.9999999999999977,46.35296982959413,46.35296982959304,693,158
uniform,0.4,2101,27,sequence,shortest_oracle,0.9999999999981286,57.257336727658085,57.25733672680708,693,158
uniform,0.4,2101,27,sequence,ssp_optimal,0.9999999999999966,45.97290093131984,45.972900931318236,693,158
uniform,0.4,2101,28,all_of,linear,0.7556910923678053,155.2607495342,39.92979291574064,1380,158
uniform,0.4,2101,28,all_of,shortest,0.6746718463205873,193.6095213911665,40.080976929423784,1380,158
uniform,0.4,2101,28,all_of,linear_empirical,0.7771199487515436,145.052202019957,39.81060559627778,1380,158
uniform,0.4,2101,28,all_of,certainty_equivalent,0.7747074091186741,146.4591125699475,40.15620048619303,1380,158
uniform,0.4,2101,28,all_of,linear_oracle,0.9999999999999976,31.493973704080734,31.49397370407956,1380,158
uniform,0.4,2101,28,all_of,shortest_oracle,0.999999999999997,33.48621866079174,33.48621866079031,1380,158
uniform,0.4,2101,28,all_of,ssp_optimal,0.9999999999999972,31.06756479606554,31.067564796064204,1380,158
uniform,0.4,2101,29,condition_then,linear,0.8744190315663432,78.95271332670114,16.759993732543702,434,158
uniform,0.4,2101,29,condition_then,shortest,0.9407524998204987,49.772524854043425,20.66197513782595,434,158
uniform,0.4,2101,29,condition_then,linear_empirical,0.8303953447166353,105.75528747907883,22.78156313659443,434,158
uniform,0.4,2101,29,condition_then,certainty_equivalent,0.733243804211106,152.41642851526316,21.598895456591936,434,158
uniform,0.4,2101,29,condition_then,linear_oracle,0.9999999999999992,15.289483938251232,15.289483938250847,434,158
uniform,0.4,2101,29,condition_then,shortest_oracle,0.9999999999999981,18.412318321089487,18.412318321088556,434,158
uniform,0.4,2101,29,condition_then,ssp_optimal,0.9999999999999996,14.428822344589985,14.428822344589765,434,158
uniform,0.4,2101,30,sequence,linear,0.06333537283355979,487.48149877940835,124.87823654209359,693,158
uniform,0.4,2101,30,sequence,shortest,0.08515427740080952,481.11547300402464,149.31091451100983,693,158
uniform,0.4,2101,30,sequence,linear_empirical,0.07160202872727961,481.9691184164291,92.58616330616023,693,158
uniform,0.4,2101,30,sequence,certainty_equivalent,0.0711534429057365,483.69295908464136,114.16906224960155,693,158
uniform,0.4,2101,30,sequence,linear_oracle,0.9999999999999969,46.04117178844257,46.04117178844112,693,158
