seed,budget,task_id,task_type,method,success,steps,shortest_product_steps,base_learned_states,task_memory_states,reachable_product_states
2505,2048,38,branch,dynamic_source,True,14,8.0,297,4,0
2505,2048,38,branch,product_compiler,True,8,8.0,297,4,1184
2505,2048,39,branch,static_source,False,512,12.0,297,4,0
2505,2048,39,branch,dynamic_source,True,18,12.0,297,4,0
2505,2048,39,branch,product_compiler,True,12,12.0,297,4,1184
2505,2048,40,branch,static_source,False,512,9.0,297,4,0
2505,2048,40,branch,dynamic_source,True,17,9.0,297,4,0
2505,2048,40,branch,product_compiler,True,9,9.0,297,4,1184
2505,2048,41,branch,static_source,False,512,9.0,297,4,0
2505,2048,41,branch,dynamic_source,True,17,9.0,297,4,0
2505,2048,41,branch,product_compiler,True,9,9.0,297,4,1184
2505,2048,42,branch,static_source,False,512,12.0,297,4,0
2505,2048,42,branch,dynamic_source,True,16,12.0,297,4,0
2505,2048,42,branch,product_compiler,True,16,12.0,297,4,1184
2505,2048,43,branch,static_source,False,512,9.0,297,4,0
2505,2048,43,branch,dynamic_source,True,18,9.0,297,4,0
2505,2048,43,branch,product_compiler,True,9,9.0,297,4,1184
2505,2048,44,branch,static_source,False,512,9.0,297,4,0
2505,2048,44,branch,dynamic_source,True,20,9.0,297,4,0
2505,2048,44,branch,product_compiler,True,9,9.0,297,4,1184
2505,2048,45,branch,static_source,False,512,8.0,297,4,0
2505,2048,45,branch,dynamic_source,True,8,8.0,297,4,0
2505,2048,45,branch,product_compiler,True,8,8.0,297,4,1184
2505,4096,0,sequence,static_source,False,512,17.0,297,4,0
2505,4096,0,sequence,dynamic_source,True,17,17.0,297,4,0
2505,4096,0,sequence,product_compiler,True,17,17.0,297,4,1185
2505,4096,1,all_of,static_source,False,512,15.0,297,8,0
2505,4096,1,all_of,dynamic_source,True,15,15.0,297,8,0
2505,4096,1,all_of,product_compiler,True,15,15.0,297,8,2364
2505,4096,2,condition_then,static_source,False,512,6.0,297,3,0
2505,4096,2,condition_then,dynamic_source,True,6,6.0,297,3,0
2505,4096,2,condition_then,product_compiler,True,6,6.0,297,3,653
2505,4096,3,sequence,static_source,False,512,17.0,297,4,0
2505,4096,3,sequence,dynamic_source,True,17,17.0,297,4,0
2505,4096,3,sequence,product_compiler,True,17,17.0,297,4,1185
2505,4096,4,all_of,static_source,False,512,14.0,297,8,0
2505,4096,4,all_of,dynamic_source,True,16,14.0,297,8,0
2505,4096,4,all_of,product_compiler,True,16,14.0,297,8,2364
2505,4096,5,condition_then,static_source,False,512,8.0,297,3,0
2505,4096,5,condition_then,dynamic_source,True,8,8.0,297,3,0
2505,4096,5,condition_then,product_compiler,True,8,8.0,297,3,773
2505,4096,6,sequence,static_source,False,512,20.0,297,4,0
2505,4096,6,sequence,dynamic_source,True,20,20.0,297,4,0
2505,4096,6,sequence,product_compiler,True,20,20.0,297,4,1185
2505,4096,7,all_of,static_source,False,512,17.0,297,8,0
2505,4096,7,all_of,dynamic_source,True,17,17.0,297,8,0
2505,4096,7,all_of,product_compiler,True,17,17.0,297,8,2364
2505,4096,8,condition_then,static_source,False,512,7.0,297,3,0
2505,4096,8,condition_then,dynamic_source,True,7,7.0,297,3,0
2505,4096,8,condition_then,product_compiler,True,7,7.0,297,3,740
2505,4096,9,sequence,static_source,False,512,22.0,297,4,0
2505,4096,9,sequence,dynamic_source,True,22,22.0,297,4,0
2505,4096,9,sequence,product_compiler,True,22,22.0,297,4,1185
2505,4096,10,all_of,static_source,False,512,18.0,297,8,0
2505,4096,10,all_of,dynamic_source,True,18,18.0,297,8,0
2505,4096,10,all_of,product_compiler,True,18,18.0,297,8,2364
2505,4096,11,condition_then,static_source,False,512,10.0,297,3,0
2505,4096,11,condition_then,dynamic_source,True,10,10.0,297,3,0
2505,4096,11,condition_then,product_compiler,True,10,10.0,297,3,788
2505,4096,12,sequence,static_source,False,512,25.0,297,4,0
2505,4096,12,sequence,dynamic_source,True,25,25.0,297,4,0
2505,4096,12,sequence,product_compiler,True,25,25.0,297,4,1185
2505,4096,13,all_of,static_source,False,512,14.0,297,8,0
2505,4096,13,all_of,dynamic_source,True,17,14.0,297,8,0
2505,4096,13,all_of,product_compiler,True,17,14.0,297,8,2364
2505,4096,14,condition_then,static_source,False,512,12.0,297,3,0
2505,4096,14,condition_then,dynamic_source,True,12,12.0,297,3,0
2505,4096,14,condition_then,product_compiler,True,12,12.0,297,3,713
2505,4096,15,sequence,static_source,False,512,18.0,297,4,0
2505,4096,15,sequence,dynamic_source,True,18,18.0,297,4,0
2505,4096,15,sequence,product_compiler,True,18,18.0,297,4,1185
2505,4096,16,all_of,static_source,False,512,19.0,297,8,0
2505,4096,16,all_of,dynamic_source,True,19,19.0,297,8,0
2505,4096,16,all_of,product_compiler,True,19,19.0,297,8,2364
2505,4096,17,condition_then,static_source,False,512,13.0,297,3,0
2505,4096,17,condition_then,dynamic_source,True,15,13.0,297,3,0
2505,4096,17,condition_then,product_compiler,True,13,13.0,297,3,763
2505,4096,18,sequence,static_source,False,512,27.0,297,4,0
2505,4096,18,sequence,dynamic_source,True,27,27.0,297,4,0
2505,4096,18,sequence,product_compiler,True,27,27.0,297,4,1185
2505,4096,19,all_of,static_source,False,512,25.0,297,8,0
2505,4096,19,all_of,dynamic_source,True,25,25.0,297,8,0
2505,4096,19,all_of,product_compiler,True,25,25.0,297,8,2364
2505,4096,20,condition_then,static_source,False,512,16.0,297,3,0
2505,4096,20,condition_then,dynamic_source,True,16,16.0,297,3,0
