seed,policy,wall_seconds,cpu_seconds,field_solve_seconds,process_peak_rss_bytes_so_far
73000029,task_virtual_frontier,7.654633046999976,7.653689918000012,0.8319837700002779,67637248
73000030,structural,0.5396109470000852,0.5395297470000004,0,63905792
73000030,frontier_t0,0.5141182430000413,0.5140783400000006,0,63905792
73000030,virtual_frontier,0.5404268990000105,0.5403792940000001,0,63905792
73000030,task_virtual_frontier,0.5197472179999636,0.519728003,0,63905792
73000031,structural,7.221655272000021,7.220975357999995,0,66842624
73000031,frontier_t0,3.383678976999988,3.3834882189999997,0,66842624
73000031,virtual_frontier,5.0514520399999014,5.051151446000002,0.6861515690001738,66842624
73000031,task_virtual_frontier,5.034429136999904,5.034151281999994,0.6828274200008764,66842624
73000032,structural,9.162890772999901,9.162347562000004,0,66842624
73000032,frontier_t0,0.92584977599995,0.9257932349999898,0,66842624
73000032,virtual_frontier,1.559930900999973,1.5598466620000053,0.2223844380001765,66842624
73000032,task_virtual_frontier,1.5680562380001675,1.5680258379999898,0.22181815400006144,66842624
73000033,structural,20.248138167000093,20.246968924999997,0,69967872
73000033,frontier_t0,10.38960147299997,10.388819051000013,0,69967872
73000033,virtual_frontier,22.648395913000115,22.647090877999993,3.4600007049945134,69967872
73000033,task_virtual_frontier,19.991526957000133,19.990303650999998,3.0685145009988446,69967872
73000034,structural,2.0830480389997774,2.082838358999993,0,70754304
73000034,frontier_t0,1.9573217399996565,1.9572006680000271,0,70754304
73000034,virtual_frontier,4.224527185000056,4.224279631999991,0.5704233100007059,70754304
73000034,task_virtual_frontier,3.7681752390000156,3.7679724369999974,0.5207409590004772,70754304
73000035,structural,0.8296162370000388,0.8295434159999998,0,64286720
73000035,frontier_t0,0.9137651430000631,0.913670563000001,0,64286720
73000035,virtual_frontier,1.518616169999973,1.5184272649999992,0.24095750100008217,64286720
73000035,task_virtual_frontier,1.354947167999967,1.3546777360000006,0.2169189439999002,64286720
73000036,structural,0.054095652000029304,0.05406332699999883,0,64286720
73000036,frontier_t0,0.054307019000049195,0.054272520999999685,0,64286720
73000036,virtual_frontier,0.05425226399992766,0.054216781999998354,0,64286720
73000036,task_virtual_frontier,0.05379398700003435,0.05376977100000069,0,64286720
73000037,structural,0.4187053240000296,0.41864416899999934,0,64417792
73000037,frontier_t0,0.6528090570000415,0.6526936050000005,0,64417792
73000037,virtual_frontier,0.47649786500002733,0.4763853020000006,0.012820401000084303,64417792
73000037,task_virtual_frontier,0.47653847699996277,0.47639159399999986,0.012389669000128833,64417792
73000038,structural,2.1333744909999837,2.133057200000003,0,64729088
73000038,frontier_t0,1.3058585399999174,1.3056634150000015,0,64729088
