seed,task_id,task_type,structural_capped,frontier_t0_capped,virtual_frontier_capped,task_virtual_frontier_capped,structural_success,frontier_t0_success,virtual_frontier_success,task_virtual_frontier_success,D_task,G_task,success_task_minus_generic,success_generic_minus_frontier
73000004,4,all_of,15,15,15,15,True,True,True,True,0,0,0,0
73000004,5,condition_then,10,10,10,10,True,True,True,True,0,0,0,0
73000004,6,sequence,25,25,25,25,True,True,True,True,0,0,0,0
73000004,7,all_of,18,18,18,18,True,True,True,True,0,0,0,0
73000004,8,condition_then,11,11,11,11,True,True,True,True,0,0,0,0
73000004,9,branch,15,15,15,15,True,True,True,True,0,0,0,0
73000004,10,branch,11,11,11,11,True,True,True,True,0,0,0,0
73000004,11,branch,9,9,9,9,True,True,True,True,0,0,0,0
73000005,0,sequence,19,19,19,19,True,True,True,True,0,0,0,0
73000005,1,all_of,20,20,20,20,True,True,True,True,0,0,0,0
73000005,2,condition_then,10,10,10,10,True,True,True,True,0,0,0,0
73000005,3,sequence,16,16,16,16,True,True,True,True,0,0,0,0
73000005,4,all_of,10,10,10,10,True,True,True,True,0,0,0,0
73000005,5,condition_then,6,6,6,6,True,True,True,True,0,0,0,0
73000005,6,sequence,18,18,18,18,True,True,True,True,0,0,0,0
73000005,7,all_of,16,16,16,16,True,True,True,True,0,0,0,0
73000005,8,condition_then,6,6,6,6,True,True,True,True,0,0,0,0
73000005,9,branch,7,7,7,7,True,True,True,True,0,0,0,0
73000005,10,branch,10,10,10,10,True,True,True,True,0,0,0,0
73000005,11,branch,7,7,7,7,True,True,True,True,0,0,0,0
73000006,0,sequence,32,32,32,32,True,True,True,True,0,0,0,0
73000006,1,all_of,34,34,34,34,True,True,True,True,0,0,0,0
73000006,2,condition_then,16,16,16,16,True,True,True,True,0,0,0,0
73000006,3,sequence,34,34,34,34,True,True,True,True,0,0,0,0
73000006,4,all_of,30,30,30,30,True,True,True,True,0,0,0,0
73000006,5,condition_then,19,19,19,19,True,True,True,True,0,0,0,0
73000006,6,sequence,81,81,81,81,True,True,True,True,0,0,0,0
73000006,7,all_of,77,77,77,77,True,True,True,True,0,0,0,0
73000006,8,condition_then,16,16,16,16,True,True,True,True,0,0,0,0
73000006,9,branch,17,17,17,17,True,True,True,True,0,0,0,0
73000006,10,branch,15,15,15,15,True,True,True,True,0,0,0,0
73000006,11,branch,15,15,15,15,True,True,True,True,0,0,0,0
73000007,0,sequence,16,16,16,16,True,True,True,True,0,0,0,0
73000007,1,all_of,20,20,20,20,True,True,True,True,0,0,0,0
73000007,2,condition_then,10,10,10,10,True,True,True,True,0,0,0,0
73000007,3,sequence,16,16,16,16,True,True,True,True,0,0,0,0
73000007,4,all_of,14,14,14,14,True,True,True,True,0,0,0,0
73000007,5,condition_then,53,52,46,52,True,True,True,True,6,-6,0,0
73000007,6,sequence,162,144,39,39,True,True,True,True,0,-105,0,0
73000007,7,all_of,12,12,12,12,True,True,True,True,0,0,0,0
73000007,8,condition_then,9,9,9,9,True,True,True,True,0,0,0,0
73000007,9,branch,10,10,10,10,True,True,True,True,0,0,0,0
73000007,10,branch,8,8,8,8,True,True,True,True,0,0,0,0
73000007,11,branch,10,10,10,10,True,True,True,True,0,0,0,0
73000008,0,sequence,23,23,23,23,True,True,True,True,0,0,0,0
73000008,1,all_of,17,17,17,17,True,True,True,True,0,0,0,0
73000008,2,condition_then,12,12,12,12,True,True,True,True,0,0,0,0
73000008,3,sequence,3856,205,230,230,True,True,True,True,0,25,0,0
73000008,4,all_of,3852,195,220,220,True,True,True,True,0,25,0,0
73000008,5,condition_then,8,8,8,8,True,True,True,True,0,0,0,0
73000008,6,sequence,3154,123,75,75,True,True,True,True,0,-48,0,0
73000008,7,all_of,3145,269,242,180,True,True,True,True,-62,-27,0,0
73000008,8,condition_then,9,9,9,9,True,True,True,True,0,0,0,0
73000008,9,branch,7,7,7,7,True,True,True,True,0,0,0,0
73000008,10,branch,10,10,10,10,True,True,True,True,0,0,0,0
73000008,11,branch,6,6,6,6,True,True,True,True,0,0,0,0
73000009,0,sequence,13,13,13,13,True,True,True,True,0,0,0,0
73000009,1,all_of,11,11,11,11,True,True,True,True,0,0,0,0
73000009,2,condition_then,9,9,9,9,True,True,True,True,0,0,0,0
73000009,3,sequence,12,12,12,12,True,True,True,True,0,0,0,0
73000009,4,all_of,15,15,15,15,True,True,True,True,0,0,0,0
73000009,5,condition_then,12,12,12,12,True,True,True,True,0,0,0,0
73000009,6,sequence,14,14,14,14,True,True,True,True,0,0,0,0
73000009,7,all_of,8,8,8,8,True,True,True,True,0,0,0,0
73000009,8,condition_then,8,8,8,8,True,True,True,True,0,0,0,0
73000009,9,branch,8,8,8,8,True,True,True,True,0,0,0,0
73000009,10,branch,7,7,7,7,True,True,True,True,0,0,0,0
73000009,11,branch,17,17,17,17,True,True,True,True,0,0,0,0
73000010,0,sequence,344,352,173,143,True,True,True,True,-30,-179,0,0
73000010,1,all_of,336,344,175,145,True,True,True,True,-30,-169,0,0
73000010,2,condition_then,441,324,221,245,True,True,True,True,24,-103,0,0
73000010,3,sequence,19,19,19,19,True,True,True,True,0,0,0,0
73000010,4,all_of,1643,529,612,611,True,True,True,True,-1,83,0,0
73000010,5,condition_then,12,12,12,12,True,True,True,True,0,0,0,0
73000010,6,sequence,18,18,18,18,True,True,True,True,0,0,0,0
73000010,7,all_of,13,13,13,13,True,True,True,True,0,0,0,0
73000010,8,condition_then,10,10,10,10,True,True,True,True,0,0,0,0
73000010,9,branch,10,10,10,10,True,True,True,True,0,0,0,0
73000010,10,branch,11,11,11,11,True,True,True,True,0,0,0,0
73000010,11,branch,8,8,8,8,True,True,True,True,0,0,0,0
73000011,0,sequence,1374,220,189,189,True,True,True,True,0,-31,0,0
73000011,1,all_of,1369,210,174,174,True,True,True,True,0,-36,0,0
73000011,2,condition_then,8,8,8,8,True,True,True,True,0,0,0,0
73000011,3,sequence,4096,354,222,222,False,True,True,True,0,-132,0,0
73000011,4,all_of,4096,339,207,203,False,True,True,True,-4,-132,0,0
73000011,5,condition_then,17,17,17,17,True,True,True,True,0,0,0,0
73000011,6,sequence,18,18,18,18,True,True,True,True,0,0,0,0
73000011,7,all_of,13,13,13,13,True,True,True,True,0,0,0,0
73000011,8,condition_then,4096,328,209,199,False,True,True,True,-10,-119,0,0
73000011,9,branch,13,13,13,13,True,True,True,True,0,0,0,0
73000011,10,branch,9,9,9,9,True,True,True,True,0,0,0,0
73000011,11,branch,6,6,6,6,True,True,True,True,0,0,0,0
73000013,0,sequence,19,19,19,19,True,True,True,True,0,0,0,0
73000013,1,all_of,16,16,16,16,True,True,True,True,0,0,0,0
73000013,2,condition_then,7,7,7,7,True,True,True,True,0,0,0,0
73000013,3,sequence,15,15,15,15,True,True,True,True,0,0,0,0
73000013,4,all_of,11,11,11,11,True,True,True,True,0,0,0,0
73000013,5,condition_then,9,9,9,9,True,True,True,True,0,0,0,0
73000013,6,sequence,15,15,15,15,True,True,True,True,0,0,0,0
73000013,7,all_of,11,11,11,11,True,True,True,True,0,0,0,0
73000013,8,condition_then,12,12,12,12,True,True,True,True,0,0,0,0
73000013,9,branch,6,6,6,6,True,True,True,True,0,0,0,0
73000013,10,branch,11,11,11,11,True,True,True,True,0,0,0,0
73000013,11,branch,6,6,6,6,True,True,True,True,0,0,0,0
73000014,0,sequence,12,12,12,12,True,True,True,True,0,0,0,0
73000014,1,all_of,8,8,8,8,True,True,True,True,0,0,0,0
73000014,2,condition_then,8,8,8,8,True,True,True,True,0,0,0,0
73000014,3,sequence,15,15,15,15,True,True,True,True,0,0,0,0
73000014,4,all_of,9,9,9,9,True,True,True,True,0,0,0,0
73000014,5,condition_then,5,5,5,5,True,True,True,True,0,0,0,0
73000014,6,sequence,11,11,11,11,True,True,True,True,0,0,0,0
73000014,7,all_of,8,8,8,8,True,True,True,True,0,0,0,0
73000014,8,condition_then,8,8,8,8,True,True,True,True,0,0,0,0
73000014,9,branch,8,8,8,8,True,True,True,True,0,0,0,0
73000014,10,branch,9,9,9,9,True,True,True,True,0,0,0,0
73000014,11,branch,7,7,7,7,True,True,True,True,0,0,0,0
73000015,0,sequence,418,574,431,431,True,True,True,True,0,-143,0,0
73000015,1,all_of,406,562,419,418,True,True,True,True,-1,-143,0,0
73000015,2,condition_then,268,268,268,268,True,True,True,True,0,0,0,0
73000015,3,sequence,386,512,386,386,True,True,True,True,0,-126,0,0
73000015,4,all_of,378,518,378,378,True,True,True,True,0,-140,0,0
73000015,5,condition_then,489,624,489,489,True,True,True,True,0,-135,0,0
73000015,6,sequence,1369,1699,1110,1110,True,True,True,True,0,-589,0,0
73000015,7,all_of,1350,1681,1106,1106,True,True,True,True,0,-575,0,0
73000015,8,condition_then,658,870,658,658,True,True,True,True,0,-212,0,0
73000015,9,branch,578,618,478,478,True,True,True,True,0,-140,0,0
73000015,10,branch,26,26,26,26,True,True,True,True,0,0,0,0
73000015,11,branch,511,667,439,439,True,True,True,True,0,-228,0,0
73000016,0,sequence,17,17,17,17,True,True,True,True,0,0,0,0
73000016,1,all_of,17,17,17,17,True,True,True,True,0,0,0,0
73000016,2,condition_then,7,7,7,7,True,True,True,True,0,0,0,0
73000016,3,sequence,12,12,12,12,True,True,True,True,0,0,0,0
73000016,4,all_of,8,8,8,8,True,True,True,True,0,0,0,0
73000016,5,condition_then,5,5,5,5,True,True,True,True,0,0,0,0
73000016,6,sequence,21,21,21,21,True,True,True,True,0,0,0,0
73000016,7,all_of,13,13,13,13,True,True,True,True,0,0,0,0
73000016,8,condition_then,6,6,6,6,True,True,True,True,0,0,0,0
73000016,9,branch,10,10,10,10,True,True,True,True,0,0,0,0
73000016,10,branch,13,13,13,13,True,True,True,True,0,0,0,0
73000016,11,branch,6,6,6,6,True,True,True,True,0,0,0,0
73000017,0,sequence,525,187,155,155,True,True,True,True,0,-32,0,0
73000017,1,all_of,352,167,151,129,True,True,True,True,-22,-16,0,0
73000017,2,condition_then,18,18,18,18,True,True,True,True,0,0,0,0
73000017,3,sequence,1301,376,220,220,True,True,True,True,0,-156,0,0
73000017,4,all_of,1569,372,411,411,True,True,True,True,0,39,0,0
73000017,5,condition_then,891,327,204,204,True,True,True,True,0,-123,0,0
73000017,6,sequence,1844,607,373,373,True,True,True,True,0,-234,0,0
73000017,7,all_of,1826,594,360,364,True,True,True,True,4,-234,0,0
73000017,8,condition_then,224,230,19,19,True,True,True,True,0,-211,0,0
73000017,9,branch,13,13,13,13,True,True,True,True,0,0,0,0
73000017,10,branch,8,8,8,8,True,True,True,True,0,0,0,0
73000017,11,branch,10,10,10,10,True,True,True,True,0,0,0,0
73000018,0,sequence,16,16,16,16,True,True,True,True,0,0,0,0
73000018,1,all_of,631,113,181,181,True,True,True,True,0,68,0,0
73000018,2,condition_then,411,69,71,71,True,True,True,True,0,2,0,0
73000018,3,sequence,1711,164,200,201,True,True,True,True,1,36,0,0
73000018,4,all_of,701,58,56,56,True,True,True,True,0,-2,0,0
73000018,5,condition_then,3,3,3,3,True,True,True,True,0,0,0,0
73000018,6,sequence,1372,367,383,367,True,True,True,True,-16,16,0,0
73000018,7,all_of,1361,346,362,356,True,True,True,True,-6,16,0,0
73000018,8,condition_then,11,11,11,11,True,True,True,True,0,0,0,0
73000018,9,branch,7,7,7,7,True,True,True,True,0,0,0,0
73000018,10,branch,9,9,9,9,True,True,True,True,0,0,0,0
73000018,11,branch,775,316,162,162,True,True,True,True,0,-154,0,0
73000019,0,sequence,2861,97,103,103,True,True,True,True,0,6,0,0
73000019,1,all_of,2847,83,96,96,True,True,True,True,0,13,0,0
73000019,2,condition_then,2856,92,98,98,True,True,True,True,0,6,0,0
73000019,3,sequence,2992,93,99,99,True,True,True,True,0,6,0,0
73000019,4,all_of,2992,89,95,95,True,True,True,True,0,6,0,0
73000019,5,condition_then,5,5,5,5,True,True,True,True,0,0,0,0
73000019,6,sequence,20,20,20,20,True,True,True,True,0,0,0,0
73000019,7,all_of,1970,130,117,117,True,True,True,True,0,-13,0,0
73000019,8,condition_then,12,12,12,12,True,True,True,True,0,0,0,0
73000019,9,branch,7,7,7,7,True,True,True,True,0,0,0,0
73000019,10,branch,223,21,21,21,True,True,True,True,0,0,0,0
73000019,11,branch,8,8,8,8,True,True,True,True,0,0,0,0
73000020,0,sequence,16,16,16,16,True,True,True,True,0,0,0,0
73000020,1,all_of,12,12,12,12,True,True,True,True,0,0,0,0
73000020,2,condition_then,8,8,8,8,True,True,True,True,0,0,0,0
73000020,3,sequence,16,16,16,16,True,True,True,True,0,0,0,0
73000020,4,all_of,17,17,17,17,True,True,True,True,0,0,0,0
73000020,5,condition_then,11,11,11,11,True,True,True,True,0,0,0,0
73000020,6,sequence,16,16,16,16,True,True,True,True,0,0,0,0
73000020,7,all_of,9,9,9,9,True,True,True,True,0,0,0,0
73000020,8,condition_then,8,8,8,8,True,True,True,True,0,0,0,0
73000020,9,branch,13,13,13,13,True,True,True,True,0,0,0,0
73000020,10,branch,9,9,9,9,True,True,True,True,0,0,0,0
73000020,11,branch,4096,48,48,48,False,True,True,True,0,0,0,0
73000021,0,sequence,11,11,11,11,True,True,True,True,0,0,0,0
73000021,1,all_of,7,7,7,7,True,True,True,True,0,0,0,0
73000021,2,condition_then,6,6,6,6,True,True,True,True,0,0,0,0
73000021,3,sequence,13,13,13,13,True,True,True,True,0,0,0,0
73000021,4,all_of,1543,62,43,43,True,True,True,True,0,-19,0,0
73000021,5,condition_then,1579,35,55,55,True,True,True,True,0,20,0,0
73000021,6,sequence,17,17,17,17,True,True,True,True,0,0,0,0
73000021,7,all_of,11,11,11,11,True,True,True,True,0,0,0,0
73000021,8,condition_then,5,5,5,5,True,True,True,True,0,0,0,0
73000021,9,branch,9,9,9,9,True,True,True,True,0,0,0,0
73000021,10,branch,11,11,11,11,True,True,True,True,0,0,0,0
73000021,11,branch,10,10,10,10,True,True,True,True,0,0,0,0
73000023,0,sequence,10,10,10,10,True,True,True,True,0,0,0,0
73000023,1,all_of,7,7,7,7,True,True,True,True,0,0,0,0
73000023,2,condition_then,7,7,7,7,True,True,True,True,0,0,0,0
73000023,3,sequence,15,15,15,15,True,True,True,True,0,0,0,0
73000023,4,all_of,15,15,15,15,True,True,True,True,0,0,0,0
73000023,5,condition_then,14,14,14,14,True,True,True,True,0,0,0,0
73000023,6,sequence,16,16,16,16,True,True,True,True,0,0,0,0
73000023,7,all_of,13,13,13,13,True,True,True,True,0,0,0,0
73000023,8,condition_then,12,12,12,12,True,True,True,True,0,0,0,0
73000023,9,branch,16,16,16,16,True,True,True,True,0,0,0,0
73000023,10,branch,17,17,17,17,True,True,True,True,0,0,0,0
73000023,11,branch,15,15,15,15,True,True,True,True,0,0,0,0
73000024,0,sequence,26,26,26,26,True,True,True,True,0,0,0,0
73000024,1,all_of,19,19,19,19,True,True,True,True,0,0,0,0
73000024,2,condition_then,18,18,18,18,True,True,True,True,0,0,0,0
73000024,3,sequence,234,187,180,180,True,True,True,True,0,-7,0,0
73000024,4,all_of,216,183,176,176,True,True,True,True,0,-7,0,0
73000024,5,condition_then,188,145,134,134,True,True,True,True,0,-11,0,0
73000024,6,sequence,17,17,17,17,True,True,True,True,0,0,0,0
73000024,7,all_of,8,8,8,8,True,True,True,True,0,0,0,0
73000024,8,condition_then,9,9,9,9,True,True,True,True,0,0,0,0
73000024,9,branch,15,15,15,15,True,True,True,True,0,0,0,0
73000024,10,branch,9,9,9,9,True,True,True,True,0,0,0,0
73000024,11,branch,10,10,10,10,True,True,True,True,0,0,0,0
73000026,0,sequence,4096,291,291,291,False,True,True,True,0,0,0,0
73000026,1,all_of,4096,286,286,286,False,True,True,True,0,0,0,0
73000026,2,condition_then,4096,69,69,69,False,True,True,True,0,0,0,0
73000026,3,sequence,4096,334,334,334,False,True,True,True,0,0,0,0
73000026,4,all_of,2183,166,166,166,True,True,True,True,0,0,0,0
73000026,5,condition_then,2197,264,264,264,True,True,True,True,0,0,0,0
73000026,6,sequence,4096,203,203,203,False,True,True,True,0,0,0,0
73000026,7,all_of,82,39,39,39,True,True,True,True,0,0,0,0
73000026,8,condition_then,7,7,7,7,True,True,True,True,0,0,0,0
73000026,9,branch,19,19,19,19,True,True,True,True,0,0,0,0
73000026,10,branch,13,13,13,13,True,True,True,True,0,0,0,0
73000026,11,branch,80,80,80,80,True,True,True,True,0,0,0,0
73000027,0,sequence,453,728,374,374,True,True,True,True,0,-354,0,0
73000027,1,all_of,440,723,369,369,True,True,True,True,0,-354,0,0
73000027,2,condition_then,425,694,348,342,True,True,True,True,-6,-346,0,0
73000027,3,sequence,614,241,594,532,True,True,True,True,-62,353,0,0
73000027,4,all_of,440,723,369,369,True,True,True,True,0,-354,0,0
73000027,5,condition_then,9,9,9,9,True,True,True,True,0,0,0,0
73000027,6,sequence,380,604,318,318,True,True,True,True,0,-286,0,0
73000027,7,all_of,364,597,302,302,True,True,True,True,0,-295,0,0
73000027,8,condition_then,223,267,135,135,True,True,True,True,0,-132,0,0
73000027,9,branch,8,8,8,8,True,True,True,True,0,0,0,0
73000027,10,branch,11,11,11,11,True,True,True,True,0,0,0,0
73000027,11,branch,16,16,16,16,True,True,True,True,0,0,0,0
73000029,0,sequence,106,41,48,48,True,True,True,True,0,7,0,0
73000029,1,all_of,1407,489,267,267,True,True,True,True,0,-222,0,0
73000029,2,condition_then,8,8,8,8,True,True,True,True,0,0,0,0
73000029,3,sequence,2231,361,420,420,True,True,True,True,0,59,0,0
73000029,4,all_of,2201,331,394,394,True,True,True,True,0,63,0,0
73000029,5,condition_then,1884,178,175,175,True,True,True,True,0,-3,0,0
73000029,6,sequence,1313,384,253,253,True,True,True,True,0,-131,0,0
73000029,7,all_of,1301,372,241,241,True,True,True,True,0,-131,0,0
73000029,8,condition_then,6,6,6,6,True,True,True,True,0,0,0,0
73000029,9,branch,10,10,10,10,True,True,True,True,0,0,0,0
73000029,10,branch,12,12,12,12,True,True,True,True,0,0,0,0
73000029,11,branch,1397,171,168,168,True,True,True,True,0,-3,0,0
73000030,0,sequence,21,21,21,21,True,True,True,True,0,0,0,0
73000030,1,all_of,16,16,16,16,True,True,True,True,0,0,0,0
73000030,2,condition_then,13,13,13,13,True,True,True,True,0,0,0,0
73000030,3,sequence,23,23,23,23,True,True,True,True,0,0,0,0
73000030,4,all_of,18,18,18,18,True,True,True,True,0,0,0,0
73000030,5,condition_then,11,11,11,11,True,True,True,True,0,0,0,0
73000030,6,sequence,18,18,18,18,True,True,True,True,0,0,0,0
73000030,7,all_of,23,23,23,23,True,True,True,True,0,0,0,0
73000030,8,condition_then,5,5,5,5,True,True,True,True,0,0,0,0
73000030,9,branch,15,15,15,15,True,True,True,True,0,0,0,0
73000030,10,branch,11,11,11,11,True,True,True,True,0,0,0,0
73000030,11,branch,10,10,10,10,True,True,True,True,0,0,0,0
73000031,0,sequence,1869,542,459,459,True,True,True,True,0,-83,0,0
73000031,1,all_of,29,29,29,29,True,True,True,True,0,0,0,0
73000031,2,condition_then,237,213,187,187,True,True,True,True,0,-26,0,0
73000031,3,sequence,1148,299,156,156,True,True,True,True,0,-143,0,0
73000031,4,all_of,1138,281,138,138,True,True,True,True,0,-143,0,0
73000031,5,condition_then,1553,363,268,268,True,True,True,True,0,-95,0,0
73000031,6,sequence,281,242,235,235,True,True,True,True,0,-7,0,0
73000031,7,all_of,280,241,234,234,True,True,True,True,0,-7,0,0
73000031,8,condition_then,92,86,86,86,True,True,True,True,0,0,0,0
73000031,9,branch,8,8,8,8,True,True,True,True,0,0,0,0
73000031,10,branch,9,9,9,9,True,True,True,True,0,0,0,0
73000031,11,branch,3665,471,306,306,True,True,True,True,0,-165,0,0
73000032,0,sequence,3444,69,70,70,True,True,True,True,0,1,0,0
73000032,1,all_of,3432,66,67,67,True,True,True,True,0,1,0,0
73000032,2,condition_then,1893,53,53,53,True,True,True,True,0,0,0,0
73000032,3,sequence,33,202,133,133,True,True,True,True,0,-69,0,0
73000032,4,all_of,22,191,122,122,True,True,True,True,0,-69,0,0
73000032,5,condition_then,6,6,6,6,True,True,True,True,0,0,0,0
73000032,6,sequence,3425,86,86,86,True,True,True,True,0,0,0,0
73000032,7,all_of,3418,74,74,74,True,True,True,True,0,0,0,0
73000032,8,condition_then,3476,82,96,96,True,True,True,True,0,14,0,0
73000032,9,branch,368,29,29,29,True,True,True,True,0,0,0,0
73000032,10,branch,726,71,84,84,True,True,True,True,0,13,0,0
73000032,11,branch,9,9,9,9,True,True,True,True,0,0,0,0
73000033,0,sequence,1107,731,628,418,True,True,True,True,-210,-103,0,0
73000033,1,all_of,3931,1130,1287,1268,True,True,True,True,-19,157,0,0
73000033,2,condition_then,351,312,79,79,True,True,True,True,0,-233,0,0
73000033,3,sequence,4096,821,959,984,False,True,True,True,25,138,0,0
73000033,4,all_of,4096,923,548,502,False,True,True,True,-46,-375,0,0
73000033,5,condition_then,17,57,27,27,True,True,True,True,0,-30,0,0
73000033,6,sequence,984,809,526,542,True,True,True,True,16,-283,0,0
73000033,7,all_of,981,808,524,540,True,True,True,True,16,-284,0,0
73000033,8,condition_then,15,15,15,15,True,True,True,True,0,0,0,0
73000033,9,branch,18,18,18,18,True,True,True,True,0,0,0,0
73000033,10,branch,318,129,86,86,True,True,True,True,0,-43,0,0
73000033,11,branch,9,9,9,9,True,True,True,True,0,0,0,0
73000034,0,sequence,97,142,94,94,True,True,True,True,0,-48,0,0
73000034,1,all_of,181,204,198,189,True,True,True,True,-9,-6,0,0
73000034,2,condition_then,16,16,16,16,True,True,True,True,0,0,0,0
73000034,3,sequence,95,95,95,95,True,True,True,True,0,0,0,0
73000034,4,all_of,91,91,91,82,True,True,True,True,-9,0,0,0
73000034,5,condition_then,11,11,11,11,True,True,True,True,0,0,0,0
73000034,6,sequence,769,343,335,335,True,True,True,True,0,-8,0,0
73000034,7,all_of,122,120,131,131,True,True,True,True,0,11,0,0
73000034,8,condition_then,22,22,22,22,True,True,True,True,0,0,0,0
73000034,9,branch,19,19,19,19,True,True,True,True,0,0,0,0
73000034,10,branch,10,10,10,10,True,True,True,True,0,0,0,0
73000034,11,branch,137,135,146,146,True,True,True,True,0,11,0,0
73000035,0,sequence,19,19,19,19,True,True,True,True,0,0,0,0
73000035,1,all_of,33,30,24,24,True,True,True,True,0,-6,0,0
73000035,2,condition_then,268,298,188,159,True,True,True,True,-29,-110,0,0
73000035,3,sequence,129,138,119,119,True,True,True,True,0,-19,0,0
73000035,4,all_of,15,15,15,15,True,True,True,True,0,0,0,0
73000035,5,condition_then,98,98,88,88,True,True,True,True,0,-10,0,0
73000035,6,sequence,143,133,109,109,True,True,True,True,0,-24,0,0
73000035,7,all_of,126,136,112,94,True,True,True,True,-18,-24,0,0
73000035,8,condition_then,49,57,51,51,True,True,True,True,0,-6,0,0
73000035,9,branch,15,15,15,15,True,True,True,True,0,0,0,0
73000035,10,branch,371,299,181,181,True,True,True,True,0,-118,0,0
73000035,11,branch,12,12,12,12,True,True,True,True,0,0,0,0
73000036,0,condition_then,6,6,6,6,True,True,True,True,0,0,0,0
73000036,1,condition_then,13,13,13,13,True,True,True,True,0,0,0,0
73000036,2,condition_then,8,8,8,8,True,True,True,True,0,0,0,0
73000036,3,sequence,16,16,16,16,True,True,True,True,0,0,0,0
73000036,4,all_of,14,14,14,14,True,True,True,True,0,0,0,0
73000036,5,sequence,21,21,21,21,True,True,True,True,0,0,0,0
73000036,6,all_of,15,15,15,15,True,True,True,True,0,0,0,0
73000036,7,sequence,19,19,19,19,True,True,True,True,0,0,0,0
73000036,8,all_of,17,17,17,17,True,True,True,True,0,0,0,0
73000036,9,branch,16,16,16,16,True,True,True,True,0,0,0,0
73000036,10,branch,18,18,18,18,True,True,True,True,0,0,0,0
73000036,11,branch,16,16,16,16,True,True,True,True,0,0,0,0
73000037,0,sequence,25,25,25,25,True,True,True,True,0,0,0,0
73000037,1,all_of,53,225,53,53,True,True,True,True,0,-172,0,0
73000037,2,condition_then,7,7,7,7,True,True,True,True,0,0,0,0
