slip,seed,task_id,task_type,method,success,steps,replans,why,shortest_in_model,learned_states
0.2,2202,9,sequence,shortest,False,29,1,slipped into a state the model has never seen,22,133
0.2,2202,9,sequence,expected,False,29,1,slipped into a state the model has never seen,22,133
0.2,2202,10,all_of,linear,False,9,1,slipped into a state the model has never seen,17,133
0.2,2202,10,all_of,linear_empirical,False,9,1,slipped into a state the model has never seen,17,133
0.2,2202,10,all_of,shortest,False,512,1,horizon,17,133
0.2,2202,10,all_of,expected,True,50,1,success,17,133
0.2,2202,11,condition_then,linear,False,56,1,slipped into a state the model has never seen,9,133
0.2,2202,11,condition_then,linear_empirical,True,9,1,success,9,133
0.2,2202,11,condition_then,shortest,True,70,1,success,9,133
0.2,2202,11,condition_then,expected,True,9,1,success,9,133
0.2,2202,12,sequence,linear,True,16,1,success,14,133
0.2,2202,12,sequence,linear_empirical,True,16,1,success,14,133
0.2,2202,12,sequence,shortest,True,23,1,success,14,133
0.2,2202,12,sequence,expected,True,14,1,success,14,133
0.2,2202,13,all_of,linear,True,19,1,success,15,133
0.2,2202,13,all_of,linear_empirical,True,19,1,success,15,133
0.2,2202,13,all_of,shortest,True,21,1,success,15,133
0.2,2202,13,all_of,expected,True,25,1,success,15,133
0.2,2202,14,condition_then,linear,True,19,1,success,15,133
0.2,2202,14,condition_then,linear_empirical,True,19,1,success,15,133
0.2,2202,14,condition_then,shortest,True,26,1,success,15,133
0.2,2202,14,condition_then,expected,True,22,1,success,15,133
0.2,2202,15,sequence,linear,True,23,1,success,18,133
0.2,2202,15,sequence,linear_empirical,True,23,1,success,18,133
0.2,2202,15,sequence,shortest,True,33,1,success,18,133
0.2,2202,15,sequence,expected,True,23,1,success,18,133
0.2,2202,16,all_of,linear,True,16,1,success,8,133
0.2,2202,16,all_of,linear_empirical,True,16,1,success,8,133
0.2,2202,16,all_of,shortest,True,29,1,success,8,133
0.2,2202,16,all_of,expected,True,16,1,success,8,133
0.2,2202,17,condition_then,linear,True,7,1,success,7,133
0.2,2202,17,condition_then,linear_empirical,True,7,1,success,7,133
0.2,2202,17,condition_then,shortest,True,17,1,success,7,133
0.2,2202,17,condition_then,expected,True,7,1,success,7,133
0.2,2202,18,sequence,linear,True,26,1,success,22,133
0.2,2202,18,sequence,linear_empirical,True,26,1,success,22,133
0.2,2202,18,sequence,shortest,True,38,1,success,22,133
0.2,2202,18,sequence,expected,True,38,1,success,22,133
