capped_steps,cpu_seconds,exploration_policy_cpu_seconds,exploration_steps,failure_reason,final_memory,final_memory_accepting,oracle_setup_cpu_seconds,policy,process_peak_rss_bytes_so_far,replans,sampled_peak_rss_bytes,seed,states_known_at_end,success,task_id,task_steps,task_type,wall_seconds
7,0.0173169350000002,0.0,0,success,2,True,0.0025089889999998505,oracle_source,68386816,7,68214784,77000001,67,True,2,7,condition_then,0.01732061999999246
7,0.01768671400000077,0.0,0,success,2,True,0.0025531120000001906,oracle_direct,68386816,7,68214784,77000001,67,True,2,7,condition_then,0.017691044000002876
28,0.0719287099999999,0.0,0,success,3,True,0,generic,68386816,28,68218880,77000001,67,True,3,28,sequence,0.07193290899999738
28,0.07385712499999997,0.0,0,success,3,True,0,current_task,68386816,28,68218880,77000001,67,True,3,28,sequence,0.0738614549999852
28,0.07622080400000009,0.0,0,success,3,True,0.00312399600000024,oracle_source,68386816,28,68218880,77000001,67,True,3,28,sequence,0.07622504700000832
28,0.07650685700000004,0.0,0,success,3,True,0.003059755999999858,oracle_direct,68386816,28,68218880,77000001,67,True,3,28,sequence,0.07651101299998686
305,1.5223825839999998,0.8582942280000019,305,success,7,True,0,generic,68464640,305,68567040,77000001,82,True,4,305,all_of,1.5226166120000073
309,1.516445226,0.8564283690000103,309,success,7,True,0,current_task,68464640,309,68567040,77000001,82,True,4,309,all_of,1.516698625999993
20,0.08509784900000028,0.02960087099999953,10,success,7,True,0.0061141320000004384,oracle_source,68464640,20,68567040,77000001,71,True,4,20,all_of,0.08510168300000487
18,0.047324845999998644,0.0004857280000010178,18,success,7,True,0.0061501889999995285,oracle_direct,68464640,18,68567040,77000001,69,True,4,18,all_of,0.04732788900000173
11,0.025423963000001493,0.0,0,success,2,True,0,generic,68464640,11,68567040,77000001,67,True,5,11,condition_then,0.025427382000003718
11,0.024903381999999752,0.0,0,success,2,True,0,current_task,68464640,11,68567040,77000001,67,True,5,11,condition_then,0.024906383999990567
11,0.027652408999999878,0.0,0,success,2,True,0.0025151910000005273,oracle_source,68464640,11,68567040,77000001,67,True,5,11,condition_then,0.0276559099999929
11,0.02810047499999868,0.0,0,success,2,True,0.0026209479999987906,oracle_direct,68464640,11,68567040,77000001,67,True,5,11,condition_then,0.02810371000001055
212,1.2354612710000001,0.7115907039999776,212,success,3,True,0,generic,68726784,212,68857856,77000001,81,True,6,212,sequence,1.2357015180000133
212,1.2347259289999997,0.7114598530000116,212,success,3,True,0,current_task,68726784,212,68857856,77000001,81,True,6,212,sequence,1.2349239910000165
44,0.21920514600000018,0.12589275099999497,44,success,3,True,0.0030417430000007073,oracle_source,68726784,44,68907008,77000001,73,True,6,44,sequence,0.21921001300000853
15,0.03709009600000002,0.0004220840000002113,15,success,3,True,0.0030866569999989935,oracle_direct,68726784,15,68907008,77000001,69,True,6,15,sequence,0.03711920999998597
13,0.05480541699999897,0.0,0,success,7,True,0,generic,68726784,13,68923392,77000001,67,True,7,13,all_of,0.05480955900000595
13,0.0448248539999998,0.0,0,success,7,True,0,current_task,68726784,13,68923392,77000001,67,True,7,13,all_of,0.04482832200000075
13,0.051195083999999724,0.0,0,success,7,True,0.006057415999999094,oracle_source,68726784,13,68923392,77000001,67,True,7,13,all_of,0.05119907899998566
13,0.051188069999998476,0.0,0,success,7,True,0.0061945319999985315,oracle_direct,68726784,13,68923392,77000001,67,True,7,13,all_of,0.05120185300000912
13,0.02971601700000015,0.0,0,success,2,True,0,generic,68726784,13,68923392,77000001,67,True,8,13,condition_then,0.02971972000000278
13,0.029798681000000826,0.0,0,success,2,True,0,current_task,68726784,13,68923392,77000001,67,True,8,13,condition_then,0.02981171299998664
13,0.031731105000000426,0.0,0,success,2,True,0.002529626999999479,oracle_source,68726784,13,68923392,77000001,67,True,8,13,condition_then,0.03173461899999097
13,0.031788623000000626,0.0,0,success,2,True,0.00255937300000042,oracle_direct,68726784,13,68923392,77000001,67,True,8,13,condition_then,0.03179211600001963
10,0.023936087999999245,0.0,0,success,3,True,0,generic,68726784,10,68923392,77000001,67,True,9,10,branch,0.02393955200000164
10,0.023867760999999987,0.0,0,success,3,True,0,current_task,68726784,10,68923392,77000001,67,True,9,10,branch,0.023880599999984042
10,0.026577464999999023,0.0,0,success,3,True,0.0029376079999998694,oracle_source,68726784,10,68923392,77000001,67,True,9,10,branch,0.026581104999991112
10,0.026587602999999405,0.0,0,success,3,True,0.003002498999999048,oracle_direct,68726784,10,68923392,77000001,67,True,9,10,branch,0.02663976499999876
10,0.03055987099999946,0.0,0,success,3,True,0,generic,68726784,10,68923392,77000001,67,True,10,10,branch,0.030563322999995535
10,0.030843600000000748,0.0,0,success,3,True,0,current_task,68726784,10,68923392,77000001,67,True,10,10,branch,0.030847715999982483
10,0.03335193799999914,0.0,0,success,3,True,0.0029601709999997894,oracle_source,68726784,10,68923392,77000001,67,True,10,10,branch,0.033355529000004935
10,0.03332785299999941,0.0,0,success,3,True,0.00301111499999962,oracle_direct,68726784,10,68923392,77000001,67,True,10,10,branch,0.03333159299998556
7,0.02003200799999938,0.0,0,success,3,True,0,generic,68726784,7,68923392,77000001,67,True,11,7,branch,0.020035280000001876
7,0.02028738399999952,0.0,0,success,3,True,0,current_task,68726784,7,68923392,77000001,67,True,11,7,branch,0.020299636000004284
7,0.023029979000000367,0.0,0,success,3,True,0.002936977000000951,oracle_source,68726784,7,68923392,77000001,67,True,11,7,branch,0.023033271999992166
7,0.023455412000000564,0.0,0,success,3,True,0.0030876380000002257,oracle_direct,68726784,7,68923392,77000001,67,True,11,7,branch,0.023459654000021146
16,0.04452661900000088,0.0,0,success,3,True,0,generic,68726784,16,68923392,77000002,54,True,0,16,sequence,0.044541772999991736
16,0.048363122999999675,0.0,0,success,3,True,0,current_task,68726784,16,68923392,77000002,54,True,0,16,sequence,0.04836646700002234
16,0.048142690999998905,0.0,0,success,3,True,0.0038077609999991324,oracle_source,68726784,16,68923392,77000002,54,True,0,16,sequence,0.04814611300000138
16,0.04768471699999921,0.0,0,success,3,True,0.0033829489999988027,oracle_direct,68726784,16,68923392,77000002,54,True,0,16,sequence,0.04769925500002614
13,0.047201376000000295,0.0,0,success,7,True,0,generic,68726784,13,68923392,77000002,54,True,1,13,all_of,0.04722283099999913
13,0.046934238000000406,0.0,0,success,7,True,0,current_task,68726784,13,68923392,77000002,54,True,1,13,all_of,0.04693811799998571
13,0.05389373599999914,0.0,0,success,7,True,0.006797285999999403,oracle_source,68726784,13,68923392,77000002,54,True,1,13,all_of,0.05389750099999446
13,0.05374901599999937,0.0,0,success,7,True,0.00691924399999877,oracle_direct,68726784,13,68923392,77000002,54,True,1,13,all_of,0.05375260900001422
18,0.038288723999999164,0.0,0,success,2,True,0,generic,68726784,18,68923392,77000002,54,True,2,18,condition_then,0.038292181000002756
18,0.03874332200000019,0.0,0,success,2,True,0,current_task,68726784,18,68923392,77000002,54,True,2,18,condition_then,0.038747053999998116
18,0.041069540000000515,0.0,0,success,2,True,0.0028824549999999505,oracle_source,68726784,18,68923392,77000002,54,True,2,18,condition_then,0.04107320800000025
18,0.041378166000001215,0.0,0,success,2,True,0.0029194140000008417,oracle_direct,68726784,18,68923392,77000002,54,True,2,18,condition_then,0.04138148499998806
216,0.6120077820000009,0.3458111670000008,211,success,3,True,0,generic,68726784,216,68943872,77000002,69,True,3,216,sequence,0.6120371930000204
246,0.6949703710000001,0.39336769999999,241,success,3,True,0,current_task,68726784,246,68943872,77000002,72,True,3,246,sequence,0.6950626770000099
31,0.07686780100000057,0.008250937000003233,7,success,3,True,0.0034008730000003595,oracle_source,68726784,31,68943872,77000002,58,True,3,31,sequence,0.07687215300001071
19,0.02857327599999948,0.00027603300000045294,13,success,3,True,0.00335651899999867,oracle_direct,68726784,19,68943872,77000002,58,True,3,19,sequence,0.028576619000006076
210,0.6795828610000001,0.38511678200000254,210,success,7,True,0,generic,68726784,210,68943872,77000002,69,True,4,210,all_of,0.6796648960000198
240,0.7640809239999999,0.4328684759999959,240,success,7,True,0,current_task,68726784,240,68943872,77000002,72,True,4,240,all_of,0.7641911249999964
15,0.05166563099999877,0.01465124099999393,7,success,7,True,0.006799880999999175,oracle_source,68726784,15,68943872,77000002,58,True,4,15,all_of,0.051682615999993686
15,0.03730616200000014,0.00018804800000182809,7,success,7,True,0.00696609100000245,oracle_direct,68726784,15,68943872,77000002,58,True,4,15,all_of,0.037309418000006644
13,0.02565121700000006,0.0,0,success,2,True,0,generic,68726784,13,68943872,77000002,54,True,5,13,condition_then,0.025654317999993737
13,0.025662649000000926,0.0,0,success,2,True,0,current_task,68726784,13,68943872,77000002,54,True,5,13,condition_then,0.025667120999997906
13,0.028341453999999544,0.0,0,success,2,True,0.002898275999999811,oracle_source,68726784,13,68943872,77000002,54,True,5,13,condition_then,0.02835411099999874
13,0.028616366000001392,0.0,0,success,2,True,0.0029056690000004437,oracle_direct,68726784,13,68943872,77000002,54,True,5,13,condition_then,0.02861985999999206
24,0.06332882099999892,0.0,0,success,3,True,0,generic,68726784,24,68943872,77000002,54,True,6,24,sequence,0.06334199500000182
24,0.06319764699999908,0.0,0,success,3,True,0,current_task,68726784,24,68943872,77000002,54,True,6,24,sequence,0.06320209200001159
24,0.06652607399999866,0.0,0,success,3,True,0.003375183999999365,oracle_source,68726784,24,68943872,77000002,54,True,6,24,sequence,0.06653883100000257
24,0.06624947899999967,0.0,0,success,3,True,0.003437560999998368,oracle_direct,68726784,24,68943872,77000002,54,True,6,24,sequence,0.0662537159999772
12,0.05415565499999886,0.0,0,success,7,True,0,generic,68726784,12,68943872,77000002,54,True,7,12,all_of,0.054159663000007185
12,0.04709118999999973,0.0,0,success,7,True,0,current_task,68726784,12,68943872,77000002,54,True,7,12,all_of,0.047119678000001386
12,0.05392987400000138,0.0,0,success,7,True,0.006816993000001048,oracle_source,68726784,12,68943872,77000002,54,True,7,12,all_of,0.053934048999991546
12,0.053861786999998884,0.0,0,success,7,True,0.00702780599999997,oracle_direct,68726784,12,68943872,77000002,54,True,7,12,all_of,0.05386598199999071
13,0.028638307000001362,0.0,0,success,2,True,0,generic,68726784,13,68943872,77000002,54,True,8,13,condition_then,0.028641700999997965
13,0.02842420700000048,0.0,0,success,2,True,0,current_task,68726784,13,68943872,77000002,54,True,8,13,condition_then,0.028441595000003872
13,0.03174769600000005,0.0,0,success,2,True,0.0029105079999993677,oracle_source,68726784,13,68943872,77000002,54,True,8,13,condition_then,0.031750971999997546
13,0.03127273999999858,0.0,0,success,2,True,0.0029236320000016747,oracle_direct,68726784,13,68943872,77000002,54,True,8,13,condition_then,0.0312760609999998
9,0.023268353000002406,0.0,0,success,3,True,0,generic,68726784,9,68943872,77000002,54,True,9,9,branch,0.023271829000009348
9,0.02317937699999817,0.0,0,success,3,True,0,current_task,68726784,9,68943872,77000002,54,True,9,9,branch,0.0231823709999901
9,0.02649508999999739,0.0,0,success,3,True,0.0034649519999980782,oracle_source,68726784,9,68943872,77000002,54,True,9,9,branch,0.026498219999979256
9,0.026647946000000644,0.0,0,success,3,True,0.0034316400000022895,oracle_direct,68726784,9,68943872,77000002,54,True,9,9,branch,0.026650947000007363
128,0.3867781980000018,0.22071374999999094,128,success,3,True,0,generic,68726784,128,68943872,77000002,61,True,10,128,branch,0.3868724779999866
128,0.39149731499999874,0.22314249599998703,128,success,3,True,0,current_task,68726784,128,68943872,77000002,61,True,10,128,branch,0.3915197750000061
39,0.13727770899999925,0.07569777900000219,37,success,3,True,0.003408556000000118,oracle_source,68726784,39,68943872,77000002,57,True,10,39,branch,0.13728218800000036
8,0.014523674999999514,0.0001358919999994157,6,success,3,True,0.0033889499999979478,oracle_direct,68726784,8,68943872,77000002,55,True,10,8,branch,0.014526475999986133
13,0.02966188699999961,0.0,0,success,3,True,0,generic,68726784,13,68943872,77000002,54,True,11,13,branch,0.029665029999989656
13,0.02971774099999891,0.0,0,success,3,True,0,current_task,68726784,13,68943872,77000002,54,True,11,13,branch,0.02972105500001021
13,0.03328631499999801,0.0,0,success,3,True,0.0034418989999984717,oracle_source,68726784,13,68943872,77000002,54,True,11,13,branch,0.03328954799999906
13,0.03294883499999912,0.0,0,success,3,True,0.003412003000001107,oracle_direct,68726784,13,68943872,77000002,54,True,11,13,branch,0.03298072900000193
621,1.5770688580000005,0.9094640140000045,618,success,3,True,0,generic,68726784,621,68947968,77000003,88,True,0,621,sequence,1.5772264720000067
621,1.5265615500000003,0.8776339400000168,618,success,3,True,0,current_task,68726784,621,68947968,77000003,88,True,0,621,sequence,1.5267962830000101
14,0.028092750000002553,0.012516873999992129,14,success,3,True,0.007000786000002535,oracle_source,68726784,14,68947968,77000003,39,True,0,14,sequence,0.0280965410000249
12,0.013164411000001763,0.0002715870000002951,12,success,3,True,0.006119351999998912,oracle_direct,68726784,12,68947968,77000003,38,True,0,12,sequence,0.013166812000008576
617,1.6490525859999998,0.9400662279999139,617,success,7,True,0,generic,68726784,617,68947968,77000003,88,True,1,617,all_of,1.6492116500000122
617,1.6448504479999997,0.9367073599999785,617,success,7,True,0,current_task,68726784,617,68947968,77000003,88,True,1,617,all_of,1.6450128259999985
11,0.03227640199999726,0.01147058100000109,11,success,7,True,0.012822231999997769,oracle_source,68726784,11,68947968,77000003,37,True,1,11,all_of,0.03227965500002483
9,0.019053102000000877,0.0002400780000009206,9,success,7,True,0.012570603000000347,oracle_direct,68726784,9,68947968,77000003,36,True,1,9,all_of,0.019055585000018027
131,0.23736801700000143,0.13962589499999467,131,success,2,True,0,generic,68726784,131,68947968,77000003,50,True,2,131,condition_then,0.2373853679999911
131,0.23710063800000114,0.13963360099997146,131,success,2,True,0,current_task,68726784,131,68947968,77000003,50,True,2,131,condition_then,0.23713222399999268
10,0.019391222999999513,0.008444970000002883,10,success,2,True,0.005145196000000851,oracle_source,68726784,10,68947968,77000003,36,True,2,10,condition_then,0.01939369999999485
10,0.011401882999997781,0.00021634300000172857,10,success,2,True,0.005105570999997866,oracle_direct,68726784,10,68947968,77000003,37,True,2,10,condition_then,0.0114042369999936
458,1.0254385769999992,0.5875738840000295,451,success,3,True,0,generic,68726784,458,68947968,77000003,79,True,3,458,sequence,1.025540436
458,1.0287403170000005,0.5901928359999999,451,success,3,True,0,current_task,68726784,458,68947968,77000003,79,True,3,458,sequence,1.0288275909999811
28,0.05615916200000015,0.028471538000005125,28,success,3,True,0.0072760199999990505,oracle_source,68726784,28,68947968,77000003,38,True,3,28,sequence,0.05616272399998934
14,0.013678719000001394,0.00028947199999862505,14,success,3,True,0.006076652000000848,oracle_direct,68726784,14,68947968,77000003,37,True,3,14,sequence,0.013681086999980607
449,1.1082658730000006,0.6334924319999686,449,success,7,True,0,generic,68726784,449,68947968,77000003,79,True,4,449,all_of,1.1084165469999903
449,1.118774235,0.642507078000019,449,success,7,True,0,current_task,68726784,449,68947968,77000003,79,True,4,449,all_of,1.118921714999999
15,0.026258699999999635,0.006516713999996426,13,success,7,True,0.012920255000000935,oracle_source,68726784,15,68947968,77000003,38,True,4,15,all_of,0.026261766000004627
10,0.01844635100000147,0.00022737399999428476,8,success,7,True,0.013095482000000658,oracle_direct,68726784,10,68947968,77000003,37,True,4,10,all_of,0.01844932599999538
449,1.0307712030000005,0.6007542179999596,449,success,2,True,0,generic,68726784,449,68947968,77000003,79,True,5,449,condition_then,1.0308873090000077
449,1.024327764999999,0.5979120169999455,449,success,2,True,0,current_task,68726784,449,68947968,77000003,79,True,5,449,condition_then,1.0244060850000096
4,0.008018783999997225,0.001812550000000357,4,success,2,True,0.0051559249999968415,oracle_source,68726784,4,68947968,77000003,36,True,5,4,condition_then,0.00802151199999912
4,0.0064654270000019665,8.922700000013606e-05,4,success,2,True,0.005272962999999464,oracle_direct,68726784,4,68947968,77000003,36,True,5,4,condition_then,0.006468178999995189
457,1.0080675120000002,0.5847807500000783,455,success,3,True,0,generic,68726784,457,68947968,77000003,76,True,6,457,sequence,1.0082037730000195
457,1.008504066999997,0.5845942209998753,455,success,3,True,0,current_task,68726784,457,68947968,77000003,76,True,6,457,sequence,1.0085731860000067
14,0.016856014999994784,0.006611861000003216,14,success,3,True,0.006278919999999744,oracle_source,68726784,14,68947968,77000003,44,True,6,14,sequence,0.016858763000016097
14,0.010620836000001077,0.0002849830000073439,14,success,3,True,0.006181998000002409,oracle_direct,68726784,14,68947968,77000003,43,True,6,14,sequence,0.01062318999998979
454,1.0783426389999988,0.6189659799999205,454,success,7,True,0,generic,68726784,454,68947968,77000003,76,True,7,454,all_of,1.0784587359999875
454,1.092686999999998,0.6278984680000121,454,success,7,True,0,current_task,68726784,454,68947968,77000003,76,True,7,454,all_of,1.0927547929999832
11,0.022654508000002238,0.006191967999995995,11,success,7,True,0.012572667000000592,oracle_source,68726784,11,68947968,77000003,41,True,7,11,all_of,0.022657317000010835
11,0.017107914999996865,0.0002841090000060831,11,success,7,True,0.01277138799999733,oracle_direct,68726784,11,68947968,77000003,40,True,7,11,all_of,0.017110204999994494
22,0.022871533,0.007914994000003617,15,success,2,True,0,generic,68726784,22,68947968,77000003,36,True,8,22,condition_then,0.02287455499998714
22,0.022433196000001487,0.0077589170000109675,15,success,2,True,0,current_task,68726784,22,68947968,77000003,36,True,8,22,condition_then,0.022436132000024145
9,0.017182724000001315,0.0011397550000040724,2,success,2,True,0.005233220000000927,oracle_source,68726784,9,68947968,77000003,33,True,8,9,condition_then,0.017185646999990922
9,0.01607358500000089,4.723700001108e-05,2,success,2,True,0.005236535000001652,oracle_direct,68726784,9,68947968,77000003,33,True,8,9,condition_then,0.016089400999987902
279,0.614249853000004,0.3535745319999535,279,success,3,True,0,generic,68726784,279,68947968,77000003,62,True,9,279,branch,0.6143218520000175
279,0.6113956410000014,0.35535810599997575,279,success,3,True,0,current_task,68726784,279,68947968,77000003,62,True,9,279,branch,0.6114686239999969
7,0.011157687999997279,0.003104901999996912,7,success,3,True,0.006176789000001293,oracle_source,68726784,7,68947968,77000003,37,True,9,7,branch,0.011160187999990967
