seed,budget,task_id,task_type,method,success,steps,shortest_product_steps,base_learned_states,task_memory_states,reachable_product_states
2101,2048,1,all_of,static_source,False,512,11,162,8,0
2101,2048,1,all_of,dynamic_source,True,11,11,162,8,0
2101,2048,1,all_of,product_compiler,True,11,11,162,8,1280
2101,2048,1,all_of,optimal_product,True,11,11,162,8,1280
2101,2048,2,condition_then,static_source,False,512,6,162,3,0
2101,2048,2,condition_then,dynamic_source,True,6,6,162,3,0
2101,2048,2,condition_then,product_compiler,True,6,6,162,3,387
2101,2048,2,condition_then,optimal_product,True,6,6,162,3,387
2101,2048,3,sequence,static_source,False,512,22,162,4,0
2101,2048,3,sequence,dynamic_source,True,22,22,162,4,0
2101,2048,3,sequence,product_compiler,True,22,22,162,4,645
2101,2048,3,sequence,optimal_product,True,22,22,162,4,645
2101,2048,4,all_of,static_source,False,512,19,162,8,0
2101,2048,4,all_of,dynamic_source,True,19,19,162,8,0
2101,2048,4,all_of,product_compiler,True,21,19,162,8,1284
2101,2048,4,all_of,optimal_product,True,19,19,162,8,1284
2101,2048,5,condition_then,static_source,False,512,9,162,3,0
2101,2048,5,condition_then,dynamic_source,True,9,9,162,3,0
2101,2048,5,condition_then,product_compiler,True,9,9,162,3,325
2101,2048,5,condition_then,optimal_product,True,9,9,162,3,325
2101,2048,6,sequence,static_source,False,512,14,162,4,0
2101,2048,6,sequence,dynamic_source,True,14,14,162,4,0
2101,2048,6,sequence,product_compiler,True,14,14,162,4,645
2101,2048,6,sequence,optimal_product,True,14,14,162,4,645
2101,2048,7,all_of,static_source,False,512,10,162,8,0
2101,2048,7,all_of,dynamic_source,True,13,10,162,8,0
2101,2048,7,all_of,product_compiler,True,10,10,162,8,1284
2101,2048,7,all_of,optimal_product,True,10,10,162,8,1284
2101,2048,8,condition_then,static_source,False,512,3,162,3,0
2101,2048,8,condition_then,dynamic_source,True,3,3,162,3,0
2101,2048,8,condition_then,product_compiler,True,3,3,162,3,401
2101,2048,8,condition_then,optimal_product,True,3,3,162,3,401
2101,2048,9,sequence,static_source,False,512,,162,4,0
2101,2048,9,sequence,dynamic_source,False,6,,162,4,0
2101,2048,9,sequence,product_compiler,False,0,,162,4,323
2101,2048,9,sequence,optimal_product,False,0,,162,4,323
2101,2048,10,all_of,static_source,False,512,,162,8,0
2101,2048,10,all_of,dynamic_source,False,12,,162,8,0
2101,2048,10,all_of,product_compiler,False,0,,162,8,644
2101,2048,10,all_of,optimal_product,False,0,,162,8,644
2101,2048,11,condition_then,static_source,False,512,12,162,3,0
2101,2048,11,condition_then,dynamic_source,True,12,12,162,3,0
2101,2048,11,condition_then,product_compiler,True,12,12,162,3,467
2101,2048,11,condition_then,optimal_product,True,12,12,162,3,467
2101,2048,12,sequence,static_source,False,512,20,162,4,0
2101,2048,12,sequence,dynamic_source,True,20,20,162,4,0
2101,2048,12,sequence,product_compiler,True,20,20,162,4,645
2101,2048,12,sequence,optimal_product,True,20,20,162,4,645
2101,2048,13,all_of,static_source,False,512,15,162,8,0
2101,2048,13,all_of,dynamic_source,True,22,15,162,8,0
2101,2048,13,all_of,product_compiler,True,15,15,162,8,1284
2101,2048,13,all_of,optimal_product,True,15,15,162,8,1284
2101,2048,14,condition_then,static_source,False,512,5,162,3,0
2101,2048,14,condition_then,dynamic_source,True,5,5,162,3,0
2101,2048,14,condition_then,product_compiler,True,5,5,162,3,471
2101,2048,14,condition_then,optimal_product,True,5,5,162,3,471
2101,2048,15,sequence,static_source,False,512,18,162,4,0
2101,2048,15,sequence,dynamic_source,True,18,18,162,4,0
2101,2048,15,sequence,product_compiler,True,18,18,162,4,645
2101,2048,15,sequence,optimal_product,True,18,18,162,4,645
2101,2048,16,all_of,static_source,False,512,16,162,8,0
2101,2048,16,all_of,dynamic_source,True,17,16,162,8,0
2101,2048,16,all_of,product_compiler,True,17,16,162,8,1284
2101,2048,16,all_of,optimal_product,True,16,16,162,8,1284
2101,2048,17,condition_then,static_source,False,512,10,162,3,0
2101,2048,17,condition_then,dynamic_source,True,10,10,162,3,0
2101,2048,17,condition_then,product_compiler,True,10,10,162,3,471
2101,2048,17,condition_then,optimal_product,True,10,10,162,3,471
2101,2048,18,sequence,static_source,False,512,,162,4,0
2101,2048,18,sequence,dynamic_source,False,0,,162,4,0
2101,2048,18,sequence,product_compiler,False,0,,162,4,162
2101,2048,18,sequence,optimal_product,False,0,,162,4,162
2101,2048,19,all_of,static_source,False,512,,162,8,0
2101,2048,19,all_of,dynamic_source,False,13,,162,8,0
2101,2048,19,all_of,product_compiler,False,0,,162,8,644
2101,2048,19,all_of,optimal_product,False,0,,162,8,644
2101,2048,20,condition_then,static_source,False,512,7,162,3,0
2101,2048,20,condition_then,dynamic_source,True,7,7,162,3,0
2101,2048,20,condition_then,product_compiler,True,7,7,162,3,435
2101,2048,20,condition_then,optimal_product,True,7,7,162,3,435
2101,2048,21,sequence,static_source,False,512,22,162,4,0
2101,2048,21,sequence,dynamic_source,True,22,22,162,4,0
2101,2048,21,sequence,product_compiler,True,22,22,162,4,645
2101,2048,21,sequence,optimal_product,True,22,22,162,4,645
2101,2048,22,all_of,static_source,False,512,19,162,8,0
2101,2048,22,all_of,dynamic_source,True,19,19,162,8,0
2101,2048,22,all_of,product_compiler,True,19,19,162,8,1284
2101,2048,22,all_of,optimal_product,True,19,19,162,8,1284
2101,2048,23,condition_then,static_source,False,512,8,162,3,0
2101,2048,23,condition_then,dynamic_source,True,10,8,162,3,0
2101,2048,23,condition_then,product_compiler,True,8,8,162,3,421
